apartment_id,area_m2,rooms,distance_center_km,building_age_years,rent_thousand_kzt
1,63,2,1.8,1,321.7
2,75,4,7.4,35,298.4
3,78,1,1.4,12,331.6
4,79,3,9.2,2,337.3
5,61,2,3.8,34,266.9
6,51,2,6.2,14,234.9
7,84,3,7.4,18,370.4
8,40,2,12.8,4,187.3
9,94,2,2.9,40,365.8
10,65,2,8.0,15,290.0
11,57,2,5.4,7,278.1
12,47,2,4.3,23,249.7
13,83,2,1.4,26,361.2
14,49,1,10.5,35,204.7
15,88,3,2.4,36,371.9
16,86,3,3.6,2,389.4
17,57,1,8.0,19,250.0
18,58,2,5.6,36,261.4
19,77,3,2.9,19,335.8
20,92,3,1.3,21,401.4
21,52,2,3.0,12,271.4
22,30,1,0.4,40,177.7
23,52,2,8.5,25,205.1
24,79,3,3.5,34,316.2
25,67,3,2.6,38,291.4
26,87,3,4.7,24,362.8
27,82,4,2.5,33,372.7
28,89,4,1.8,12,405.8
29,68,3,16.0,29,273.3
30,67,3,2.9,10,329.9
31,58,2,4.6,1,290.1
32,78,3,4.4,14,323.9
33,45,1,2.8,37,242.7
34,47,1,11.1,0,249.5
35,61,3,5.9,13,273.3
36,101,3,3.2,4,440.8
37,71,3,6.9,40,286.3
38,51,1,9.5,28,211.1
39,79,1,1.3,38,330.7
40,85,2,2.9,18,387.9
41,84,3,1.6,5,402.9
42,68,3,11.6,4,303.7
43,84,3,9.6,24,341.8
44,101,4,9.5,6,399.1
45,75,4,1.5,23,345.8
46,102,4,1.2,15,437.7
47,80,2,3.0,17,368.6
48,70,3,3.0,5,334.6
49,67,4,2.4,40,298.7
50,69,3,3.1,23,335.7
51,37,1,3.9,2,234.8
52,85,3,9.8,5,331.6
53,76,3,2.7,23,339.5
54,86,2,15.2,23,306.3
55,68,4,1.2,0,372.1
56,87,4,4.6,14,376.1
57,67,3,6.8,15,331.0
58,83,3,8.2,18,328.9
59,64,1,11.3,18,259.1
60,34,1,3.6,25,176.6
61,48,2,6.2,39,212.1
62,51,2,6.2,40,227.5
63,66,1,3.6,29,299.0
64,88,4,14.0,38,341.9
65,44,1,5.7,24,216.8
66,63,2,1.6,29,280.3
67,72,2,5.9,13,319.1
68,62,1,3.0,12,271.9
69,76,3,2.0,6,358.8
70,76,2,7.0,25,299.3
71,61,2,1.8,22,286.3
72,87,5,4.9,11,365.3
73,49,1,2.9,15,236.8
74,97,4,1.5,26,433.0
75,67,2,16.0,39,209.9
76,61,3,9.4,35,268.1
77,42,1,3.5,23,214.2
78,83,3,5.0,3,369.8
79,129,3,3.6,39,473.9
80,56,2,5.1,8,266.1
81,81,3,4.9,28,320.9
82,54,2,2.2,27,291.6
83,71,2,9.1,26,297.2
84,58,1,3.9,17,289.8
85,85,5,8.4,29,337.2
86,97,4,16.0,21,328.9
87,68,2,1.9,26,287.8
88,105,3,4.0,33,405.2
89,79,3,1.9,19,357.8
90,77,3,1.0,13,358.5
91,28,1,3.7,17,172.3
92,52,3,10.6,29,238.2
93,70,2,2.4,1,315.7
94,100,5,4.0,40,415.8
95,94,3,12.4,21,350.3
96,74,2,5.3,5,351.6
97,68,2,3.4,28,300.4
98,62,3,2.1,31,265.3
99,73,5,7.0,35,345.5
100,75,4,4.3,33,345.7
