apartment_id,area_m2,rooms,distance_center_km,latitude,longitude,building_age_years,photo_count,rent_thousand_kzt
1,63,2,1.8,51.11263,71.43613,1,22,321.7
2,75,4,7.4,51.19344,71.45302,35,18,298.4
3,78,1,1.4,51.13866,71.44195,12,13,331.6
4,79,3,9.2,51.19461,71.35194,2,8,337.3
5,61,2,3.8,51.15511,71.39766,34,4,266.9
6,51,2,6.2,51.18196,71.40507,14,15,234.9
7,84,3,7.4,51.09298,71.34086,18,17,370.4
8,40,2,12.8,51.23466,71.50199,4,16,187.3
9,94,2,2.9,51.1543,71.42198,40,13,365.8
10,65,2,8.0,51.05831,71.4582,15,17,290.0
11,57,2,5.4,51.16817,71.4756,7,20,278.1
12,47,2,4.3,51.09714,71.46778,23,16,249.7
13,83,2,1.4,51.13968,71.42098,26,25,361.2
14,49,1,10.5,51.19149,71.54319,35,22,204.7
15,88,3,2.4,51.14629,71.44847,36,23,371.9
16,86,3,3.6,51.11543,71.38322,2,18,389.4
17,57,1,8.0,51.20029,71.41577,19,6,250.0
18,58,2,5.6,51.08272,71.39558,36,25,261.4
19,77,3,2.9,51.11721,71.46889,19,21,335.8
20,92,3,1.3,51.12801,71.44894,21,10,401.4
21,52,2,3.0,51.14594,71.46239,12,20,271.4
22,30,1,0.4,51.12601,71.42526,40,9,177.7
23,52,2,8.5,51.06303,71.3674,25,10,205.1
24,79,3,3.5,51.14621,71.47201,34,24,316.2
25,67,3,2.6,51.12239,71.39402,38,25,291.4
26,87,3,4.7,51.09494,71.47238,24,8,362.8
27,82,4,2.5,51.10901,71.41242,33,7,372.7
28,89,4,1.8,51.12624,71.45597,12,25,405.8
29,68,3,16.0,50.99396,71.51609,29,12,273.3
30,67,3,2.9,51.15377,71.44217,10,19,329.9
31,58,2,4.6,51.12513,71.49659,1,5,290.1
32,78,3,4.4,51.09788,71.47142,14,13,323.9
33,45,1,2.8,51.13866,71.46697,37,18,242.7
34,47,1,11.1,51.16776,71.2853,0,4,249.5
35,61,3,5.9,51.10117,71.5036,13,5,273.3
36,101,3,3.2,51.12919,71.47674,4,20,440.8
37,71,3,6.9,51.18746,71.46286,40,18,286.3
38,51,1,9.5,51.0605,71.3464,28,13,211.1
39,79,1,1.3,51.1169,71.42933,38,12,330.7
40,85,2,2.9,51.13327,71.47189,18,6,387.9
41,84,3,1.6,51.11757,71.44706,5,20,402.9
42,68,3,11.6,51.03895,71.51817,4,11,303.7
43,84,3,9.6,51.06338,71.33883,24,24,341.8
44,101,4,9.5,51.20424,71.36652,6,10,399.1
45,75,4,1.5,51.11784,71.44404,23,14,345.8
46,102,4,1.2,51.12119,71.41718,15,8,437.7
47,80,2,3.0,51.11755,71.46996,17,20,368.6
48,70,3,3.0,51.15528,71.43598,5,25,334.6
49,67,4,2.4,51.10782,71.44411,40,25,298.7
50,69,3,3.1,51.12567,71.47499,23,8,335.7
51,37,1,3.9,51.10798,71.47625,2,7,234.8
52,85,3,9.8,51.19002,71.53053,5,18,331.6
53,76,3,2.7,51.1154,71.46375,23,14,339.5
54,86,2,15.2,51.2049,71.24948,23,21,306.3
55,68,4,1.2,51.13827,71.42632,0,22,372.1
56,87,4,4.6,51.13018,71.3652,14,12,376.1
57,67,3,6.8,51.06739,71.44573,15,11,331.0
58,83,3,8.2,51.0668,71.36544,18,15,328.9
59,64,1,11.3,51.15503,71.58626,18,7,259.1
60,34,1,3.6,51.096,71.42387,25,17,176.6
61,48,2,6.2,51.18408,71.42115,39,15,212.1
62,51,2,6.2,51.1754,71.47858,40,5,227.5
63,66,1,3.6,51.10308,71.46272,29,16,299.0
64,88,4,14.0,51.0494,71.27367,38,15,341.9
65,44,1,5.7,51.16706,71.48314,24,22,216.8
66,63,2,1.6,51.12298,71.45135,29,8,280.3
67,72,2,5.9,51.07814,71.46176,13,3,319.1
68,62,1,3.0,51.15136,71.45161,12,8,271.9
69,76,3,2.0,51.14431,71.41821,6,23,358.8
70,76,2,7.0,51.19173,71.43727,25,17,299.3
71,61,2,1.8,51.14425,71.42898,22,22,286.3
72,87,5,4.9,51.17166,71.41595,11,10,365.3
73,49,1,2.9,51.15056,71.41027,15,21,236.8
74,97,4,1.5,51.1164,71.41892,26,23,433.0
75,67,2,16.0,51.25907,71.33291,39,10,209.9
76,61,3,9.4,51.10882,71.29937,35,20,268.1
77,42,1,3.5,51.1326,71.47964,23,4,214.2
78,83,3,5.0,51.17273,71.42001,3,21,369.8
79,129,3,3.6,51.1504,71.3935,39,15,473.9
