delivery_id,distance_km,restaurant_prep_minutes,traffic_index,order_items,couriers_available,pickup_queue_orders,customer_previous_orders,restaurant_age_years,delivery_time_minutes
1,17.0,12.3,83,8,10,7,56,20,77.9
2,6.8,22.3,33,8,8,1,57,5,60.5
3,14.2,9.0,72,3,10,10,11,11,64.6
4,10.8,18.8,13,2,12,6,29,8,48.3
5,5.7,17.7,100,4,7,4,34,14,58.8
6,16.6,27.6,35,7,8,7,70,14,79.6
7,15.7,16.2,74,2,6,0,75,3,73.2
8,6.9,24.1,14,8,5,1,37,11,52.1
9,17.5,23.5,22,5,5,3,24,13,87.0
10,4.4,23.0,4,4,3,10,51,19,62.4
11,14.6,27.4,45,1,4,10,15,4,78.3
12,12.4,7.7,11,4,11,8,7,5,46.4
13,8.7,21.1,26,3,1,0,21,8,53.5
14,1.0,16.4,60,7,8,0,13,20,33.2
15,16.2,16.3,88,7,2,2,57,18,77.7
16,10.5,26.5,30,1,7,10,32,11,61.3
17,7.3,15.1,44,5,5,8,64,13,55.2
18,6.7,14.4,11,5,7,11,52,15,57.4
19,11.9,25.9,12,6,9,9,61,10,69.0
20,6.6,6.5,52,1,2,6,66,8,45.7
21,9.4,26.7,31,2,3,4,60,7,58.8
22,7.0,12.1,63,8,11,1,51,11,45.2
23,1.5,29.9,89,6,10,7,34,3,56.4
24,4.9,13.9,88,8,1,7,70,14,55.3
25,15.2,22.1,18,1,1,2,28,15,72.7
26,14.8,20.5,2,8,3,1,68,18,78.6
27,12.2,19.3,53,4,8,0,19,17,59.5
28,8.7,21.9,10,8,9,8,0,10,58.0
29,17.5,18.6,96,3,4,2,65,2,74.4
30,15.2,25.5,48,3,6,8,80,2,77.9
31,4.8,22.6,80,6,6,4,76,16,54.2
32,10.4,7.9,89,1,7,6,15,1,52.5
33,17.2,5.0,68,1,10,8,69,1,64.9
34,14.2,32.6,28,8,10,4,56,17,76.5
35,7.0,5.0,40,2,11,7,71,5,41.6
36,8.7,19.0,5,5,12,10,54,5,62.4
37,9.6,14.8,33,4,8,0,0,10,50.8
38,16.3,14.6,32,6,10,8,42,3,59.4
39,13.0,13.0,46,8,3,11,24,18,68.2
40,7.5,31.3,79,4,3,9,40,4,71.9
41,8.6,24.4,52,4,5,10,26,17,67.8
42,2.1,11.8,35,4,12,3,18,10,23.9
43,9.1,22.7,39,7,7,11,44,10,69.3
44,4.5,19.7,95,5,4,7,29,12,60.5
45,2.1,30.6,93,1,10,12,51,15,69.4
46,2.1,19.0,55,4,2,3,47,13,48.4
47,4.3,8.0,63,7,10,10,33,17,43.6
48,12.7,29.0,37,4,4,1,50,13,74.6
49,3.6,29.6,22,1,2,7,31,5,60.1
50,10.4,30.1,10,6,1,1,34,12,69.2
51,11.0,23.2,72,6,7,3,42,6,67.3
52,17.4,6.6,53,5,8,5,54,14,67.3
53,8.5,11.4,20,5,9,12,35,11,54.7
54,14.1,16.1,6,2,3,12,64,18,66.4
55,1.1,18.9,94,1,8,9,50,13,53.3
56,11.8,15.2,51,2,9,1,15,11,57.6
57,17.7,21.2,3,1,5,10,36,11,73.3
58,1.3,10.6,4,1,11,2,1,19,19.2
59,16.4,14.0,6,2,10,2,3,6,57.1
60,3.2,12.5,41,1,5,1,60,9,31.6
61,12.3,16.1,19,1,9,9,16,16,58.8
62,0.9,7.4,53,4,2,7,75,6,35.6
63,1.6,29.7,97,6,10,4,42,15,55.2
64,2.9,10.8,6,7,2,4,43,14,38.2
65,16.3,13.1,32,6,5,8,52,19,63.1
66,14.2,20.0,86,3,8,4,31,16,68.2
67,12.1,12.2,81,4,7,11,61,3,66.0
68,11.9,23.2,22,2,6,10,72,14,68.6
69,5.6,23.0,86,6,4,5,26,3,60.1
70,9.7,23.6,93,4,9,2,39,6,62.8
71,8.9,12.5,3,7,4,7,78,1,60.2
72,17.1,12.0,2,8,8,2,36,8,60.9
73,8.4,14.9,66,5,7,8,66,10,52.3
74,13.6,14.1,88,7,12,1,76,1,68.3
75,6.8,17.1,19,6,6,4,44,2,58.5
76,16.7,18.7,57,3,1,1,5,14,70.2
77,15.4,17.0,36,2,12,3,64,5,64.4
78,17.9,14.2,39,5,2,7,52,4,75.9
79,4.5,24.4,29,7,2,10,47,11,62.3
80,15.7,25.0,25,7,6,10,9,12,79.5
81,8.8,22.7,49,7,8,1,6,14,70.8
82,9.4,21.1,77,7,11,9,55,7,65.7
83,10.0,20.3,70,1,4,3,50,12,61.8
84,2.1,27.7,12,6,11,11,2,19,56.0
85,15.9,14.1,100,7,3,8,54,2,79.3
86,11.1,9.9,9,5,5,5,30,3,59.9
87,2.3,16.5,63,5,2,9,42,19,58.5
88,13.4,17.3,20,3,10,7,32,2,54.3
89,2.5,15.6,43,7,9,8,63,20,45.0
90,7.2,15.9,51,4,12,2,29,13,38.2
91,12.2,16.1,26,5,2,3,73,2,69.3
92,8.6,19.5,12,2,12,10,54,2,47.9
93,1.6,13.3,17,5,3,12,35,1,45.8
94,11.4,11.3,78,3,3,0,66,5,59.7
95,6.9,17.1,43,5,12,12,48,9,55.1
96,7.2,20.8,81,6,1,4,5,4,64.2
97,3.4,16.6,73,5,1,3,13,17,50.9
98,3.7,9.9,74,1,4,3,13,5,34.4
99,17.9,17.6,49,2,9,2,80,11,63.2
100,11.1,14.3,71,7,3,10,13,20,69.8
101,10.8,20.7,52,2,8,7,77,4,64.1
102,14.2,14.9,7,8,9,1,77,11,46.5
103,7.2,17.6,35,3,6,1,74,3,44.8
104,3.2,23.6,6,4,4,7,43,15,42.2
105,11.1,18.8,27,8,3,3,59,8,63.6
106,7.6,17.5,58,5,2,12,73,4,65.0
107,7.6,16.4,33,5,5,2,17,3,49.6
108,2.0,13.1,82,4,4,11,68,14,51.0
109,7.9,21.4,44,4,5,2,23,1,54.2
110,1.4,9.5,59,4,9,12,38,4,40.1
111,16.3,14.1,72,2,6,4,26,7,69.0
112,7.1,11.8,19,3,1,9,62,5,47.2
