household_id,home_area_m2,residents,appliances,heating_hours_per_day,cooling_hours_per_day,insulation_score,distance_center_km,owner_age_years,monthly_electricity_kwh
1,75,1,17,11.8,5.4,2,8.8,28,518.2
2,109,7,13,1.4,5.9,6,4.6,22,478.1
3,127,7,16,7.9,8.8,2,2.2,66,781.2
4,130,3,10,0.3,3.8,10,10.8,52,332.8
5,90,2,17,8.4,2.4,5,21.4,36,405.7
6,211,1,25,2.0,4.1,10,12.3,70,408.5
7,86,4,6,11.5,4.4,9,13.1,54,367.0
8,183,3,24,5.9,4.1,7,24.4,63,585.2
9,60,7,22,8.9,6.9,1,6.0,29,693.6
10,99,5,23,10.2,0.6,2,21.0,34,616.4
11,104,1,26,10.6,2.1,9,15.5,23,388.3
12,130,1,29,3.8,6.4,2,4.6,74,524.9
13,99,2,22,3.9,1.0,6,4.8,25,338.2
14,156,5,6,2.1,7.4,8,18.3,47,468.5
15,131,1,30,1.3,5.1,2,5.7,29,508.8
16,215,3,9,4.8,6.4,9,18.8,49,593.8
17,237,4,14,11.1,5.9,4,16.6,43,793.0
18,80,6,22,7.7,3.1,3,10.3,69,589.8
19,234,4,11,5.2,9.4,9,18.1,56,667.3
20,232,5,23,7.6,0.6,1,13.8,26,844.4
21,219,4,19,0.6,9.9,3,15.0,30,713.0
22,103,2,23,11.3,4.0,6,1.3,64,496.9
23,92,6,11,3.1,4.3,3,1.4,29,504.1
24,203,1,5,2.8,3.6,6,24.3,25,363.5
25,176,3,5,10.6,7.6,9,9.7,56,511.9
26,148,6,8,0.3,1.5,8,19.7,34,458.3
27,231,1,19,10.4,2.5,9,8.6,38,593.2
28,110,2,29,0.9,0.8,5,11.4,54,376.0
29,126,3,29,4.4,1.4,4,7.8,45,531.2
30,155,6,12,11.7,1.1,4,22.1,23,717.2
31,132,7,17,7.4,1.4,9,2.1,75,585.5
32,139,6,18,3.1,6.2,5,13.1,25,583.5
33,179,5,17,9.2,4.7,2,22.9,43,778.8
34,67,1,25,8.0,7.5,10,18.1,60,438.9
35,64,6,8,9.0,4.5,2,16.6,57,530.5
36,131,5,25,2.5,0.7,2,4.0,61,581.1
37,142,7,26,6.7,0.7,9,15.3,59,571.1
38,235,3,14,4.4,6.2,9,6.6,32,637.5
39,40,2,14,7.8,2.5,10,4.7,61,307.4
40,177,5,20,7.4,9.9,1,14.0,71,864.0
41,243,3,22,4.2,0.6,5,16.6,65,568.1
42,60,4,17,1.5,0.7,1,19.5,23,361.8
43,134,6,5,4.7,4.0,8,5.9,51,546.9
44,186,3,12,7.8,7.3,1,0.6,40,670.4
45,79,4,6,3.4,5.6,6,11.8,49,392.6
46,186,5,15,7.7,8.6,3,21.2,54,756.9
47,138,2,23,10.5,8.4,8,15.7,57,535.5
48,141,6,21,7.6,8.6,7,20.2,60,632.7
49,187,4,17,11.8,2.6,6,21.7,33,698.4
50,41,6,14,1.4,1.0,2,9.6,37,359.5
51,192,2,9,10.4,10.0,2,6.7,49,686.3
52,154,1,22,6.4,8.5,4,23.6,27,566.8
53,140,1,7,1.2,4.9,9,8.7,25,304.0
54,95,5,7,0.4,0.3,6,11.8,26,294.0
55,76,6,29,10.1,9.9,10,24.5,49,663.6
56,152,5,12,7.1,9.0,7,12.9,54,664.4
57,209,1,29,11.6,0.2,1,21.5,36,750.9
58,117,4,10,5.6,0.8,9,10.9,23,330.5
59,58,1,24,5.9,9.8,9,20.8,49,298.9
60,121,7,7,3.9,3.7,4,17.9,24,484.6
61,76,4,5,6.9,1.6,3,24.8,31,408.2
62,237,4,6,0.3,9.7,9,0.9,58,611.4
63,74,2,5,10.7,2.8,10,4.9,63,301.1
64,238,3,7,4.7,2.5,4,18.2,50,617.0
65,38,6,16,7.2,9.3,9,16.1,57,436.8
66,72,2,29,7.7,7.3,7,1.5,68,515.6
67,140,7,27,9.7,9.4,8,19.5,39,797.8
68,88,6,14,6.6,8.0,3,23.4,36,667.5
69,69,2,12,4.1,7.6,10,15.5,22,245.5
70,247,1,17,3.8,7.2,8,20.8,43,500.7
71,103,5,30,8.9,1.9,10,17.7,62,605.5
72,155,4,6,2.9,8.3,9,23.8,62,399.2
73,220,7,22,5.9,1.0,6,13.2,59,736.1
74,183,1,11,6.7,5.3,6,7.7,70,442.5
75,232,7,18,6.3,3.2,4,19.4,50,872.0
76,162,4,25,9.3,5.5,4,3.7,36,716.6
77,148,3,24,9.7,6.9,5,23.9,44,691.6
78,61,1,15,2.4,3.0,7,9.5,25,191.7
79,132,7,25,0.0,6.5,3,17.3,58,678.2
80,154,2,9,0.7,5.7,2,19.0,49,417.0
81,221,1,16,5.8,9.7,1,20.3,22,673.6
82,44,3,13,2.7,2.2,6,13.4,26,246.2
83,236,2,6,1.4,6.2,4,11.5,61,517.0
84,35,1,21,4.9,6.8,10,19.1,35,209.3
85,56,2,22,6.8,3.5,7,17.3,63,310.5
86,39,2,20,6.9,4.6,2,6.9,48,446.9
87,76,3,14,6.6,8.8,6,6.4,52,491.3
88,143,5,30,11.4,0.7,9,23.9,43,686.6
89,152,5,30,8.7,7.3,5,5.8,48,759.3
90,54,5,22,7.0,1.1,8,10.5,47,518.3
91,192,2,6,3.7,7.5,7,24.4,68,447.9
92,42,5,15,6.8,5.9,2,20.5,22,585.5
93,247,2,16,6.6,4.6,6,14.3,52,633.0
94,55,2,14,4.2,7.2,4,23.8,54,381.1
95,147,7,28,8.7,8.1,9,15.3,23,755.2
96,148,7,23,5.3,3.6,1,2.9,44,731.0
97,79,5,5,4.8,5.6,4,23.2,36,459.7
98,171,3,29,4.5,8.6,10,9.8,24,576.5
99,85,3,17,10.8,9.7,3,8.4,75,586.4
100,81,6,6,8.8,1.4,10,4.1,22,380.5
101,38,5,20,5.1,9.1,3,0.5,64,470.8
102,232,2,8,8.3,6.8,9,4.1,39,625.0
103,128,3,17,5.2,3.1,2,11.3,37,480.5
104,74,7,14,6.8,0.8,6,11.0,60,434.9
105,207,7,5,9.8,2.8,1,10.6,71,739.1
106,128,3,11,10.9,8.7,8,17.4,30,527.9
107,192,1,14,1.6,5.9,3,6.4,58,470.4
108,173,1,17,5.7,9.7,6,11.1,75,536.1
109,101,7,30,10.5,6.7,6,1.5,56,827.9
110,169,5,7,4.6,5.4,6,8.3,54,554.8
111,51,6,9,5.3,2.6,4,3.9,72,449.7
112,79,6,22,3.4,7.5,8,17.2,66,585.4
113,124,1,6,11.9,4.8,10,1.9,56,370.7
114,77,7,29,6.6,5.4,2,14.0,71,689.8
115,161,5,15,11.9,2.1,1,11.7,49,760.8
116,90,1,19,11.5,3.8,8,11.8,48,370.7
117,140,5,25,2.5,7.4,4,5.2,27,705.4
118,157,6,26,7.4,9.1,2,21.7,74,860.9
119,239,3,16,8.2,8.5,3,23.6,27,787.1
120,216,3,8,3.7,4.6,5,20.4,48,576.9
121,198,2,22,6.8,2.5,1,13.4,23,617.1
122,72,1,19,8.4,2.7,1,14.5,50,473.3
123,79,4,24,10.3,5.6,10,19.8,52,534.7
124,140,4,26,2.1,1.6,3,13.4,40,540.5
125,70,5,27,4.3,1.5,6,8.3,72,413.1
126,82,5,28,11.8,5.2,7,13.5,25,608.4
127,74,2,12,6.0,9.2,6,9.1,62,377.4
128,203,3,8,9.6,5.0,5,20.7,24,608.1
129,69,5,6,6.8,6.1,3,23.2,49,500.4
130,120,5,17,9.6,9.6,5,23.6,25,691.5
131,45,7,24,7.2,1.3,3,19.3,42,611.2
132,68,3,29,11.9,4.9,1,6.3,72,637.5
133,56,7,17,1.1,1.0,2,19.9,32,492.3
134,180,3,14,8.1,3.1,1,3.7,46,632.6
135,242,2,7,1.9,2.8,10,17.2,56,434.6
136,151,7,29,2.1,2.2,4,23.5,56,602.7
137,36,7,21,6.1,3.4,3,16.0,71,549.2
138,178,4,23,3.9,1.9,7,18.3,23,509.1
139,77,7,18,10.0,9.2,7,2.2,50,687.7
140,82,2,25,5.6,4.0,1,12.0,47,548.5
141,101,3,17,5.6,0.7,7,23.1,23,333.2
142,92,7,7,11.0,4.2,4,5.1,59,648.7
143,66,3,23,6.0,5.0,6,17.8,22,397.1
144,104,3,6,1.8,6.5,10,23.5,27,339.9
145,74,2,6,8.7,6.4,4,22.3,40,501.2
146,217,6,11,4.9,6.0,3,10.3,31,665.7
147,86,5,24,8.4,7.0,8,3.8,29,521.9
148,97,5,28,4.0,7.1,9,1.3,52,506.4
149,93,3,5,8.4,1.8,1,9.5,60,475.9
150,183,5,27,6.3,5.0,2,12.7,34,708.4
151,93,3,8,9.9,5.4,3,6.3,57,562.2
152,170,3,12,4.8,6.1,3,9.0,27,556.1
153,108,4,14,3.1,5.0,6,9.3,31,451.7
154,179,6,8,5.0,2.8,9,22.9,35,476.5
155,119,5,15,2.5,2.8,8,21.4,69,406.3
156,130,1,30,11.4,9.8,1,6.9,51,673.6
157,146,7,12,2.1,5.5,6,22.1,59,606.9
158,198,7,6,4.8,9.9,7,20.2,74,691.3
159,83,2,20,10.9,0.2,6,16.1,34,421.7
160,138,2,15,6.7,8.0,4,21.0,46,617.1
161,97,3,13,1.0,3.7,5,15.4,52,331.3
162,91,6,26,5.5,6.5,8,15.9,66,577.6
163,93,5,8,3.8,9.1,7,23.6,42,485.5
164,142,3,8,5.1,2.3,4,12.8,52,414.2
165,145,2,17,0.3,5.3,6,9.8,67,365.5
166,183,2,5,0.2,8.5,4,17.0,29,404.4
167,151,1,28,11.4,2.8,6,1.0,31,561.9
168,60,1,11,3.1,1.2,6,5.8,25,180.1
169,146,6,12,11.1,2.4,6,19.4,43,659.2
170,192,5,24,11.7,6.8,6,3.8,58,815.0
171,194,3,14,4.8,3.0,7,23.7,35,490.2
172,145,7,21,9.0,9.7,8,13.7,47,760.6
173,102,1,25,4.6,9.9,4,6.4,73,507.3
174,230,7,26,10.1,0.4,6,15.4,62,785.1
175,125,1,13,8.3,4.4,7,6.9,63,441.9
176,148,4,17,3.6,7.4,3,5.0,53,496.2
177,111,7,25,0.5,8.3,2,22.2,39,660.8
178,225,3,18,9.4,5.1,6,23.6,23,678.8
179,187,3,6,1.8,6.7,5,21.3,38,493.5
180,73,1,27,3.2,3.2,8,16.2,42,316.8
181,103,2,17,10.6,8.1,4,8.5,60,615.4
182,63,1,13,12.0,4.2,10,14.4,40,326.5
183,226,6,17,3.8,7.3,7,17.8,50,702.8
184,141,6,13,9.4,6.5,2,6.2,44,746.3
185,124,2,8,11.0,9.7,3,4.4,36,596.6
186,35,1,21,11.6,0.8,10,18.1,29,222.9
187,173,3,11,8.4,3.9,6,5.4,41,489.0
188,142,6,16,0.1,2.9,3,10.6,31,518.7
189,83,3,13,10.8,3.8,10,20.3,29,409.0
190,57,3,17,1.4,0.3,6,4.4,23,228.2
191,82,3,13,0.7,9.4,8,19.3,51,337.5
192,214,5,21,7.5,3.6,8,24.1,40,691.5
