batch_id,material_kg,machine_hours,worker_hours,energy_kwh,units_produced,defect_rate_percent,supervisor_age_years,factory_age_years,production_cost_thousand_kzt
1,335.9,54.9,78.0,1527.1,967,1.4,25,12,1734.2
2,558.5,27.6,149.7,524.0,351,3.6,53,40,1935.0
3,988.5,26.9,122.1,2122.6,676,5.6,65,38,2459.7
4,401.3,7.0,18.5,1197.0,1445,3.6,59,20,1307.1
5,997.4,66.3,82.7,1107.0,1127,0.4,32,2,2249.0
6,218.4,72.5,121.3,1578.2,234,3.1,64,16,1969.0
7,580.0,10.1,21.1,2955.2,1900,1.8,49,38,1753.8
8,1022.7,74.1,16.1,806.7,1972,5.4,53,2,2442.8
9,318.5,6.6,54.9,462.4,2449,5.5,58,10,1528.2
10,432.9,43.3,63.8,2816.7,1139,1.6,43,34,1928.7
11,477.5,65.1,139.1,308.6,2352,6.3,31,18,2654.2
12,333.1,57.6,142.6,450.7,1762,5.5,60,23,2146.0
13,1112.9,34.7,147.2,365.3,2073,3.3,47,31,2620.4
14,712.8,4.7,90.2,419.1,226,4.2,50,39,1658.0
15,1030.3,71.3,117.3,885.1,2339,7.4,45,17,2922.3
16,688.0,33.8,134.1,2333.6,2460,6.5,48,15,2669.9
17,373.3,24.1,151.5,2279.8,2086,1.0,48,6,2204.7
18,390.7,46.9,49.7,424.4,1739,6.1,52,21,1660.1
19,1141.2,54.7,118.6,474.7,1562,1.7,43,22,2360.4
20,330.4,63.3,20.5,548.6,1858,2.5,44,20,1691.2
21,110.7,19.7,50.8,618.3,2220,2.3,25,4,1118.2
22,788.5,62.0,145.9,2333.2,391,2.1,56,36,2551.1
23,473.2,50.1,125.2,1100.8,754,5.2,55,15,2312.4
24,609.2,47.8,57.6,1421.4,1963,2.6,64,28,2192.1
25,244.9,21.9,80.9,1581.0,2172,4.8,56,23,1766.8
26,636.3,63.4,154.3,1421.4,675,7.1,50,13,2636.8
27,266.2,5.5,98.7,674.4,820,7.2,49,22,1371.5
28,793.6,20.3,120.5,916.0,1889,7.2,60,21,2334.0
29,107.7,24.2,140.3,519.3,954,7.3,57,9,1823.4
30,743.4,52.8,23.4,157.0,2173,0.2,42,38,1750.7
31,738.2,20.3,81.7,1535.8,888,3.5,28,23,1891.3
32,750.7,12.3,143.8,1757.3,2211,0.3,40,34,2243.7
33,847.7,26.2,33.7,606.1,568,1.9,25,7,1452.8
34,510.3,69.0,121.4,2122.8,796,6.9,64,39,2362.9
35,886.1,14.1,98.0,1067.0,2402,6.9,55,16,2489.5
36,980.7,77.0,96.0,295.7,1991,2.7,38,29,2501.2
37,1084.1,8.9,115.7,2241.9,445,3.8,31,10,2309.7
38,725.1,7.7,19.0,2003.3,2267,6.4,29,32,1892.2
39,1142.8,65.7,88.9,769.6,1342,5.1,45,7,2672.2
40,1009.4,56.1,99.9,2114.7,803,0.2,48,17,2433.1
41,728.5,57.7,26.8,2148.6,1742,6.5,47,11,2199.8
42,126.8,12.6,128.4,2698.2,1795,4.7,63,14,2027.2
43,922.4,53.9,82.2,2576.5,1122,7.0,46,17,2809.9
44,468.9,47.1,14.6,2454.2,1546,7.1,63,18,2049.2
45,946.8,65.3,29.3,2601.5,926,1.4,60,6,2197.4
46,617.1,11.8,95.3,360.3,1764,3.5,55,19,1616.6
47,128.8,15.4,35.0,1914.8,886,1.5,52,39,1124.6
48,130.5,28.5,56.7,1217.2,2112,6.1,38,33,1669.8
49,242.5,64.9,159.1,1089.7,1856,7.4,53,13,2618.0
50,170.5,57.6,53.9,977.6,765,6.7,42,3,1681.2
51,119.9,49.0,11.1,843.8,462,5.3,25,30,1178.9
52,583.5,12.9,11.8,1804.3,103,1.7,28,7,1197.9
53,619.0,65.6,116.1,2071.2,1126,2.0,31,5,2445.7
54,461.4,34.7,73.8,1105.2,557,1.4,25,31,1498.0
55,337.8,77.5,92.1,1974.3,744,1.0,65,24,1939.5
56,167.3,66.2,94.6,2534.8,843,5.6,54,10,2138.3
57,1003.1,56.3,66.3,2151.4,1103,3.9,35,7,2355.2
58,705.5,27.1,49.8,1649.3,963,6.8,32,36,1922.0
59,1076.3,46.1,11.2,1848.0,362,2.2,63,7,1902.8
60,956.1,11.2,111.1,593.6,1178,7.5,36,14,2280.0
61,535.4,60.2,50.6,609.1,1370,4.9,56,39,2010.3
62,177.4,77.7,155.1,1614.5,668,0.9,28,21,2192.4
63,442.7,17.1,34.3,2781.8,440,5.0,44,21,1676.3
64,1142.8,12.2,10.9,2226.2,1262,6.7,32,35,2066.2
65,1022.1,36.1,25.5,2746.5,1685,4.2,46,35,2332.3
66,605.9,71.5,50.6,1457.7,2286,5.7,34,18,2443.2
67,374.6,72.6,22.8,1297.0,183,2.4,61,3,1530.3
68,724.8,9.9,102.3,2851.8,884,3.7,47,16,2008.5
69,958.7,36.7,35.9,709.7,227,6.1,54,6,1808.2
70,652.9,73.5,14.2,766.2,1758,7.9,28,36,2162.9
71,596.4,35.6,62.1,1582.7,1060,2.1,60,5,1716.0
72,498.1,27.6,97.9,2749.9,764,5.7,27,15,2000.9
73,361.0,32.4,109.0,1256.5,1618,0.2,40,25,1787.6
74,457.8,8.5,148.5,342.2,103,0.5,45,27,1462.0
75,595.3,37.8,17.5,2874.9,353,0.6,30,37,1450.2
76,208.0,48.1,121.8,304.2,1542,3.0,30,40,1935.6
77,1118.4,41.5,28.5,2703.9,2445,4.6,33,10,2518.4
78,1078.8,73.3,16.0,2654.4,1735,3.4,64,17,2615.8
79,305.4,69.1,33.7,2225.3,1508,2.0,32,22,1862.7
80,350.9,74.2,78.1,672.7,819,5.2,28,17,1825.2
81,542.1,79.8,134.2,2738.2,1493,2.7,57,38,2795.7
82,683.9,71.0,92.6,1989.5,2352,3.8,51,34,2685.0
83,350.1,25.5,34.4,272.9,793,4.9,47,32,1245.3
84,539.4,8.4,49.5,2695.2,744,1.0,29,34,1636.3
85,888.4,38.8,80.4,1177.3,2125,0.7,62,12,2109.6
86,787.3,70.6,89.9,2528.3,1883,7.4,48,33,2924.2
87,996.0,49.0,50.0,2503.1,1887,6.5,62,30,2673.4
88,818.9,36.8,132.2,2836.5,2426,5.2,46,11,3005.2
89,662.9,46.1,28.2,1133.5,1039,1.9,33,18,1777.3
90,999.1,77.5,47.8,285.0,1201,2.4,43,22,2314.2
91,886.8,60.2,22.1,2365.9,1998,0.3,49,16,2386.1
92,616.2,46.8,131.1,1938.5,1464,2.7,59,1,2358.6
93,112.1,70.0,130.1,1994.6,1818,7.7,28,22,2473.7
94,1031.0,59.7,120.2,2556.8,1626,3.3,53,5,2829.8
95,635.0,66.6,74.2,1488.8,708,1.8,51,31,2010.9
96,835.6,29.7,19.2,682.7,1114,5.4,56,5,1628.5
97,496.5,44.0,86.3,947.8,1201,7.2,33,7,2063.3
98,619.6,50.7,92.0,1937.8,2132,8.0,25,36,2708.0
99,389.1,63.8,70.6,2125.9,834,3.8,63,34,1962.7
100,584.3,45.8,136.1,1394.9,1500,4.6,28,10,2412.9
101,953.6,27.7,15.1,1300.1,1864,2.5,43,34,1869.6
102,747.2,46.9,44.3,1377.9,2079,4.0,61,38,2168.2
103,141.9,66.5,15.4,2759.7,1884,6.4,46,5,1933.3
104,446.1,64.1,39.2,2591.2,1229,5.5,46,32,2128.2
105,305.5,33.0,64.2,1495.1,1177,4.4,50,23,1631.3
106,983.4,39.4,105.9,651.3,727,6.9,56,6,2440.3
107,1136.0,65.1,142.4,2712.3,451,3.7,41,10,2945.4
108,396.5,15.2,142.0,448.7,1669,0.5,63,22,1840.5
109,435.6,55.8,117.6,2942.3,1520,5.0,55,35,2394.6
110,1106.2,19.9,14.4,2752.2,898,5.4,47,21,2080.1
111,949.3,4.1,64.4,2723.1,2287,4.2,52,34,2298.4
112,703.8,73.4,131.7,469.7,1153,7.8,46,29,2565.9
113,438.1,56.0,12.4,2362.5,1291,3.1,61,22,1859.2
114,518.1,32.4,159.2,2091.0,690,6.2,50,16,2429.6
115,284.6,22.9,130.3,1938.2,1963,4.4,58,29,2007.7
116,1164.2,78.7,139.0,1339.3,2096,1.2,59,17,2994.0
117,420.2,42.3,16.2,1078.1,435,6.6,55,5,1710.2
118,729.5,50.2,33.0,1915.6,767,4.5,49,11,1834.0
119,755.5,58.7,26.7,2562.0,2261,7.1,56,9,2557.3
120,581.7,71.3,52.6,1822.0,636,4.2,60,25,2186.5
121,654.3,49.0,22.6,363.4,1133,3.9,59,23,1689.6
122,629.7,79.1,76.6,2761.0,192,8.0,61,39,2398.0
123,929.7,65.9,31.4,1252.3,191,3.2,32,23,2056.6
124,1000.7,29.9,34.3,588.7,502,4.7,35,16,1679.8
125,1090.3,24.9,98.7,431.7,923,2.9,53,8,2031.1
126,1118.2,77.7,68.2,2283.6,2086,6.3,40,31,3048.1
127,948.0,8.2,51.0,392.9,1068,4.9,37,21,1711.9
128,507.7,25.9,60.8,2684.5,2266,4.4,41,8,2234.0
129,238.9,45.8,130.0,2488.8,394,1.2,61,33,2018.1
130,1152.8,51.6,28.2,1619.4,1674,3.9,43,4,2538.3
131,498.7,56.3,131.1,660.7,327,1.1,50,4,1871.1
