order_id,driver_distance_km,wait_minutes
1,1.33,4.9
2,0.75,4.7
3,2.71,7.7
4,1.93,6.6
5,1.79,7.5
6,2.68,8.5
7,1.89,8.3
8,2.66,7.0
9,2.21,5.7
10,5.34,11.5
11,5.14,9.7
12,4.32,8.3
13,1.87,6.5
14,4.95,13.6
15,3.47,12.1
16,1.66,6.4
17,2.69,8.9
18,4.31,8.7
19,5.45,11.6
20,1.61,4.6
21,5.17,15.8
22,0.75,3.3
23,5.44,12.4
24,3.25,7.4
25,1.32,3.8
26,1.44,5.0
27,0.96,5.2
28,4.45,12.8
29,1.48,2.9
30,4.72,9.6
31,1.61,6.0
32,1.08,5.0
33,2.18,6.3
34,3.29,6.8
35,3.07,8.0
36,1.22,5.0
37,1.13,5.2
38,2.63,5.4
39,1.7,6.7
40,2.35,8.5
41,2.72,9.2
42,2.06,4.9
43,1.56,4.4
44,5.74,11.2
45,4.19,13.1
46,2.48,8.9
47,2.57,7.5
48,1.31,3.3
49,1.88,6.1
50,2.23,5.1
51,2.02,7.3
52,3.2,9.4
53,1.53,3.7
54,2.73,9.9
55,1.74,7.1
56,2.8,8.4
57,5.06,12.5
58,1.62,7.7
59,4.13,12.8
60,2.27,6.1
61,5.0,9.6
62,1.0,7.7
63,2.1,4.7
64,3.43,6.5
65,1.36,3.4
66,3.81,7.4
67,4.23,13.5
68,1.87,8.2
69,1.06,3.9
70,3.8,7.4
71,2.53,5.6
72,2.12,7.7
73,4.69,8.1
74,2.0,4.2
75,1.33,5.2
76,3.11,8.0
77,1.31,6.4
78,1.7,6.1
79,2.41,8.0
80,5.9,11.6
81,2.63,10.3
82,2.4,5.7
83,1.91,4.2
84,3.52,10.5
85,2.55,9.5
86,3.19,8.9
87,4.26,12.1
88,2.9,7.6
89,1.8,2.6
90,1.96,6.3
91,3.8,11.0
92,2.08,8.2
93,0.4,1.7
94,2.87,5.9
95,1.26,3.8
96,3.43,10.9
97,3.23,7.8
98,1.68,3.7
99,1.91,6.3
100,2.07,6.2
