order_id,driver_distance_km,drivers_nearby,hour,weather,wait_minutes
1,1.33,6,7,clear,4.9
2,0.75,1,19,snow,4.7
3,2.71,9,8,clear,7.7
4,1.93,2,8,clear,6.6
5,1.79,3,15,snow,7.5
6,2.68,2,17,clear,8.5
7,1.89,1,7,snow,8.3
8,2.66,9,11,clear,7.0
9,2.21,6,14,clear,5.7
10,5.34,7,14,rain,11.5
11,5.14,10,14,clear,9.7
12,4.32,7,7,clear,8.3
13,1.87,1,1,clear,6.5
14,4.95,4,17,rain,13.6
15,3.47,1,17,snow,12.1
16,1.66,4,9,clear,6.4
17,2.69,3,18,clear,8.9
18,4.31,9,20,clear,8.7
19,5.45,6,13,clear,11.6
20,1.61,6,14,clear,4.6
21,5.17,4,17,clear,15.8
22,0.75,4,18,clear,3.3
23,5.44,7,8,clear,12.4
24,3.25,6,7,clear,7.4
25,1.32,8,11,rain,3.8
26,1.44,7,18,clear,5.0
27,0.96,6,19,clear,5.2
28,4.45,4,18,clear,12.8
29,1.48,13,16,clear,2.9
30,4.72,11,16,clear,9.6
31,1.61,4,16,rain,6.0
32,1.08,3,16,snow,5.0
33,2.18,6,8,clear,6.3
34,3.29,9,7,clear,6.8
35,3.07,5,11,rain,8.0
36,1.22,5,14,clear,5.0
37,1.13,6,15,snow,5.2
38,2.63,9,10,clear,5.4
39,1.7,6,19,rain,6.7
40,2.35,1,12,snow,8.5
41,2.72,2,19,clear,9.2
42,2.06,9,6,clear,4.9
43,1.56,9,15,snow,4.4
44,5.74,4,10,clear,11.2
45,4.19,5,19,clear,13.1
46,2.48,6,8,clear,8.9
47,2.57,7,19,rain,7.5
48,1.31,7,16,clear,3.3
49,1.88,1,17,clear,6.1
50,2.23,9,13,rain,5.1
51,2.02,2,19,clear,7.3
52,3.2,0,1,rain,9.4
53,1.53,7,21,clear,3.7
54,2.73,6,18,rain,9.9
55,1.74,2,18,clear,7.1
56,2.8,8,18,clear,8.4
57,5.06,3,11,snow,12.5
58,1.62,1,14,snow,7.7
59,4.13,1,19,clear,12.8
60,2.27,3,13,clear,6.1
61,5.0,9,6,clear,9.6
62,1.0,1,9,snow,7.7
63,2.1,4,7,clear,4.7
64,3.43,9,11,clear,6.5
65,1.36,9,20,clear,3.4
66,3.81,10,7,clear,7.4
67,4.23,2,17,rain,13.5
68,1.87,2,22,snow,8.2
69,1.06,7,14,clear,3.9
70,3.8,9,6,clear,7.4
71,2.53,6,7,clear,5.6
72,2.12,4,19,clear,7.7
73,4.69,6,10,clear,8.1
74,2.0,5,7,clear,4.2
75,1.33,7,19,clear,5.2
76,3.11,3,13,clear,8.0
77,1.31,2,17,clear,6.4
78,1.7,4,16,rain,6.1
79,2.41,3,7,snow,8.0
80,5.9,10,7,clear,11.6
81,2.63,2,19,rain,10.3
82,2.4,6,10,clear,5.7
83,1.91,10,6,clear,4.2
84,3.52,5,18,rain,10.5
85,2.55,5,17,clear,9.5
86,3.19,5,19,clear,8.9
87,4.26,6,17,rain,12.1
88,2.9,6,16,rain,7.6
89,1.8,12,10,clear,2.6
90,1.96,4,21,rain,6.3
91,3.8,1,13,snow,11.0
92,2.08,3,8,rain,8.2
93,0.4,5,7,clear,1.7
94,2.87,6,16,clear,5.9
95,1.26,11,9,clear,3.8
96,3.43,3,9,clear,10.9
97,3.23,10,16,clear,7.8
98,1.68,8,14,clear,3.7
99,1.91,5,14,snow,6.3
100,2.07,11,19,clear,6.2
