shop_id,seats,baristas,distance_center_km,competitors_nearby,daily_revenue_thousand_kzt
1,28,2,15.7,5,178.6
2,33,2,2.8,2,262.2
3,27,1,0.8,0,229.4
4,44,4,4.9,8,313.3
5,30,3,3.8,7,247.0
6,64,4,5.1,1,490.5
7,24,1,6.1,1,222.6
8,25,2,3.3,1,233.6
9,20,2,10.1,2,215.4
10,46,5,1.1,8,350.4
11,23,1,6.6,0,218.1
12,56,4,13.8,1,406.4
13,28,3,3.6,6,245.7
14,51,2,6.3,2,368.6
15,69,5,16.0,4,492.6
16,28,1,7.2,4,191.3
17,10,1,1.4,7,109.1
18,50,4,1.9,2,405.2
19,50,4,4.9,4,424.5
20,39,4,2.4,0,398.3
21,40,3,3.7,6,325.6
22,58,3,4.5,7,382.9
23,15,1,3.1,0,226.6
24,40,4,16.0,4,288.2
25,67,3,3.6,8,408.5
26,31,5,8.9,3,252.1
27,39,3,6.9,7,293.7
28,39,3,2.2,6,314.2
29,56,3,4.0,1,429.0
30,16,3,5.7,4,187.6
31,34,1,4.7,8,213.1
32,53,4,6.7,3,396.5
33,59,5,1.1,7,497.9
34,23,2,3.3,0,258.3
35,47,3,4.1,3,318.4
36,37,5,3.1,3,376.6
37,47,2,6.9,0,352.1
38,63,5,2.8,0,468.9
39,17,1,3.5,6,143.1
40,28,2,1.7,2,243.3
41,36,4,7.3,3,315.4
42,10,1,7.9,5,90.5
43,14,1,2.4,8,120.8
44,37,1,10.6,1,265.3
45,50,3,3.0,1,380.5
46,43,4,7.2,6,285.0
47,33,3,0.8,6,224.0
48,41,2,1.9,5,328.0
49,48,3,5.0,0,402.8
50,46,3,2.2,0,430.3
51,19,1,16.0,7,89.1
52,17,1,14.9,3,114.6
53,53,5,4.7,8,406.1
54,14,1,7.0,5,156.3
55,54,3,4.4,5,438.3
56,50,5,5.5,3,429.5
57,30,3,3.4,3,280.9
58,42,2,5.9,6,266.3
59,50,4,9.9,2,336.8
60,35,2,7.5,1,319.0
61,28,3,2.7,6,245.0
62,50,5,6.5,0,486.9
63,49,1,4.4,7,329.1
64,56,3,3.5,1,466.6
65,24,2,6.6,5,213.3
66,45,2,5.4,6,308.5
67,40,3,2.9,1,347.8
68,55,4,5.8,5,412.8
69,35,4,15.9,6,254.8
70,24,3,4.8,7,219.5
71,45,4,2.4,7,362.5
72,15,1,5.5,5,150.4
73,25,1,8.7,6,113.3
74,37,2,10.2,8,217.7
75,57,4,4.5,6,382.4
76,18,1,3.5,5,164.8
77,33,2,5.8,5,259.8
78,33,3,3.9,7,283.8
79,10,1,3.7,2,101.4
80,46,2,2.5,0,388.5
81,31,3,6.4,7,234.3
82,35,3,5.1,7,274.0
83,43,3,1.3,4,335.2
84,21,2,1.2,1,268.0
85,22,1,9.1,5,136.2
86,60,5,8.0,2,466.4
87,39,2,4.5,4,236.7
88,56,5,4.8,8,402.7
89,61,5,12.4,6,426.9
90,45,4,2.0,0,440.7
91,25,1,1.1,3,209.4
92,67,5,3.1,2,523.2
93,36,1,3.1,8,197.8
94,31,1,5.4,0,273.2
95,46,4,1.9,7,426.3
96,53,5,3.4,5,462.4
97,48,4,2.7,4,376.8
98,34,3,7.7,4,262.3
99,54,3,2.6,5,400.5
100,29,1,4.5,3,224.4
