student_id,study_hours_per_week,classes_attended,phone_hours_per_day,work_hours_per_week,exam_score
1,9.6,19,4.9,13,55.4
2,5.5,17,5.2,26,36.6
3,9.8,24,2.4,20,63.3
4,11.6,24,6.8,2,64.4
5,9.2,23,5.5,25,51.1
6,7.9,25,5.6,24,49.8
7,9.2,22,6.1,21,53.4
8,13.5,23,3.4,8,73.5
9,2.2,21,3.9,21,41.6
10,14.6,30,7.0,30,68.5
11,6.0,27,5.9,22,48.9
12,6.9,20,3.6,5,62.7
13,6.0,21,5.7,5,50.5
14,5.1,20,2.1,14,51.6
15,7.0,23,2.5,6,58.8
16,9.8,26,9.0,4,53.5
17,9.5,24,3.7,25,63.4
18,9.5,30,4.8,3,65.5
19,7.3,25,2.8,9,63.1
20,11.3,24,1.8,17,69.7
21,3.7,13,4.2,2,45.5
22,9.7,24,3.5,30,60.0
23,9.0,23,7.2,2,53.3
24,11.0,20,3.5,16,73.4
25,12.6,30,7.0,15,63.4
26,0.0,20,1.4,0,45.1
27,7.5,24,2.8,18,59.8
28,7.0,21,1.8,29,57.3
29,4.5,27,1.1,2,55.3
30,0.2,8,5.4,18,21.7
31,11.6,19,1.5,16,73.6
32,12.2,22,6.2,29,58.8
33,10.4,20,5.0,6,47.0
34,8.6,19,4.1,8,58.8
35,6.3,16,9.0,12,40.7
36,8.4,20,6.9,6,59.0
37,8.1,19,6.4,10,57.2
38,0.0,7,5.6,20,23.3
39,11.1,26,2.5,15,75.4
40,12.5,29,2.6,12,77.2
41,7.0,21,6.1,12,54.8
42,7.8,23,6.3,10,58.5
43,17.8,30,9.0,7,76.7
44,3.8,21,2.6,4,56.4
45,4.8,17,5.7,18,41.6
46,7.7,20,2.8,9,61.1
47,8.0,17,2.2,1,64.8
48,9.5,20,5.8,16,56.4
49,8.8,30,4.0,8,68.1
50,12.5,29,4.2,13,74.7
51,7.5,20,2.3,26,53.4
52,5.5,23,3.2,23,52.5
53,13.3,24,8.9,19,56.3
54,9.8,23,9.0,14,46.3
55,4.9,29,6.4,6,58.2
56,11.4,22,2.4,3,76.0
57,10.1,24,3.2,15,71.2
58,9.6,23,1.2,30,68.8
59,4.6,18,5.3,19,42.6
60,5.6,16,3.7,20,43.3
61,6.9,26,3.3,6,60.5
62,13.4,24,5.7,11,64.6
63,0.0,15,3.1,26,29.7
64,11.0,26,3.9,29,65.4
65,10.9,22,2.2,8,71.3
66,14.9,29,2.9,19,81.4
67,6.9,12,2.1,16,50.4
68,4.9,19,3.7,18,48.8
69,3.3,10,3.0,3,38.8
70,6.6,19,4.6,2,56.1
71,11.5,23,4.6,6,67.4
72,2.9,23,3.4,30,43.4
73,10.8,24,6.9,20,59.4
74,8.6,25,4.0,8,61.0
75,12.7,30,4.8,7,73.3
76,9.2,23,1.9,28,64.4
77,9.1,21,7.3,28,51.1
78,5.9,20,2.4,25,50.7
79,5.8,16,4.6,25,46.8
80,7.9,27,4.1,23,54.6
81,4.7,14,2.2,8,49.3
82,12.6,30,5.5,17,72.4
83,6.6,15,4.8,16,48.1
84,7.3,21,4.3,9,53.5
85,7.7,20,3.7,26,53.5
86,14.8,28,5.3,4,78.6
87,12.4,26,4.8,9,72.7
88,15.8,22,4.5,26,71.8
89,8.1,27,1.0,3,71.4
90,8.2,27,3.5,18,58.1
91,11.5,19,7.0,0,61.1
92,8.1,22,4.9,4,55.9
93,14.2,29,4.5,28,70.3
94,9.3,26,2.4,25,64.1
95,5.0,17,4.3,3,47.7
96,5.2,14,4.3,21,42.7
97,1.2,18,4.4,23,32.3
98,4.2,19,4.4,30,42.0
99,8.7,27,3.8,28,58.4
100,4.8,20,3.2,16,49.2
