flight_id,distance_km,checked_bags,days_before_departure,stops,price_thousand_kzt
1,3921,1,51,1,145.8
2,1507,1,35,1,62.9
3,1169,0,22,1,48.1
4,1818,0,42,0,83.6
5,1105,0,12,0,73.2
6,3633,2,27,1,165.8
7,3036,1,56,2,105.3
8,2806,2,40,2,94.1
9,3539,2,16,0,188.2
10,1629,1,8,0,108.0
11,952,0,22,0,61.9
12,2530,1,38,1,111.8
13,2494,2,40,0,132.7
14,1387,1,13,0,88.7
15,2709,0,19,0,120.5
16,3598,2,90,2,123.9
17,1693,1,20,1,94.8
18,2385,0,32,2,66.9
19,2527,0,28,0,113.9
20,2662,2,28,1,111.5
21,3172,0,9,1,127.7
22,2759,1,62,1,111.9
23,3530,0,46,0,133.4
24,1430,1,16,0,100.2
25,1751,1,7,1,88.3
26,2979,1,23,0,151.6
27,1780,0,7,1,81.2
28,1668,1,7,1,76.5
29,2157,1,42,1,87.1
30,2535,1,43,0,129.4
31,1727,0,1,0,78.0
32,2763,1,4,0,152.2
33,3518,1,36,0,163.2
34,505,2,21,1,51.3
35,500,0,56,0,30.7
36,2915,1,47,2,111.3
37,1443,1,46,1,53.0
38,3584,1,16,1,154.1
39,4500,2,6,1,180.7
40,2065,0,7,0,106.2
41,1836,2,33,1,99.5
42,2193,1,23,1,96.4
43,2467,2,8,0,133.5
44,2157,0,47,0,90.0
45,1341,0,88,0,58.0
46,2594,1,23,2,99.0
47,500,1,19,1,36.3
48,2574,0,6,0,120.0
49,2295,0,33,2,74.1
50,3443,1,25,0,165.8
51,2355,1,5,1,102.9
52,2661,1,9,0,134.0
53,1301,1,30,2,39.2
54,2366,1,5,1,114.5
55,2938,2,23,1,127.1
56,3170,0,63,0,123.7
57,2313,1,47,0,114.9
58,3706,1,18,0,166.7
59,3412,2,3,0,166.3
60,1581,1,27,1,68.8
61,500,1,16,0,61.3
62,1157,2,20,0,95.4
63,2265,1,75,0,96.4
64,2351,2,52,1,122.3
65,1921,1,49,0,92.5
66,1801,1,9,0,101.9
67,2817,0,90,1,94.5
68,1641,0,42,1,64.5
69,500,0,36,1,24.8
70,1905,1,90,0,79.4
71,3167,1,45,0,145.3
72,1392,0,38,1,46.8
73,2808,1,12,0,131.2
74,2746,1,25,2,92.6
75,2185,0,8,2,70.0
76,2588,0,64,0,103.6
77,1328,1,4,1,72.3
78,2257,0,46,1,78.7
79,3625,1,12,2,140.2
80,2128,1,10,0,117.3
81,1153,0,4,0,71.1
82,3591,0,40,2,114.9
83,907,2,54,0,55.4
84,3770,1,64,0,162.8
85,2290,0,22,1,83.0
86,2787,2,7,0,146.5
87,2536,1,6,2,99.1
88,2219,1,11,0,118.6
89,3225,0,30,1,118.3
90,2127,0,11,1,88.3
91,1423,0,43,1,51.7
92,2243,0,16,1,79.7
93,542,1,82,0,35.5
94,2064,1,19,0,101.6
95,517,1,16,1,27.9
96,2223,0,11,1,89.1
97,2893,1,22,1,125.8
98,2814,1,9,1,122.0
99,2070,0,40,1,68.3
100,500,2,90,1,30.4
