car_id,engine_power_hp,car_age_years,mileage_thousand_km,previous_owners,price_million_kzt
1,107,13,223.1,3,5.9
2,70,9,162.5,3,4.8
3,183,9,134.4,2,10.5
4,191,12,180.1,2,9.7
5,133,0,82.5,3,10.8
6,170,6,178.0,3,9.9
7,244,0,56.0,1,16.0
8,208,2,53.5,1,14.2
9,189,8,126.6,3,11.6
10,188,9,145.8,3,10.0
11,103,14,212.5,4,5.2
12,203,6,99.4,1,13.2
13,70,13,206.0,3,3.2
14,132,6,102.5,1,8.9
15,126,0,133.7,2,9.8
16,70,1,33.8,3,8.2
17,144,13,193.6,3,7.4
18,240,6,111.9,3,14.8
19,131,3,103.4,3,9.9
20,84,0,81.2,1,7.6
21,145,3,128.2,3,10.0
22,197,14,217.8,2,10.6
23,161,2,31.9,1,11.9
24,150,5,99.6,3,10.6
25,72,4,78.8,2,6.2
26,178,11,163.1,3,9.1
27,177,6,143.0,2,11.0
28,224,9,164.9,4,12.5
29,232,1,39.2,1,15.7
30,188,7,149.4,1,12.3
31,70,8,141.7,2,4.7
32,71,5,140.3,1,6.1
33,90,10,193.7,4,5.8
34,166,0,87.1,3,10.7
35,107,1,88.1,2,9.2
36,222,10,147.4,4,11.6
37,163,9,139.1,4,8.9
38,170,1,111.8,3,11.6
39,191,9,142.5,2,10.6
40,169,3,59.7,1,12.7
41,72,7,111.7,1,6.5
42,285,15,220.8,2,14.9
43,230,2,51.7,3,15.0
44,234,6,96.2,1,14.2
45,109,12,192.7,2,6.6
46,70,5,154.0,3,5.0
47,70,13,227.3,4,2.9
48,92,11,212.5,3,6.3
49,199,8,200.0,2,12.1
50,200,4,61.3,2,13.5
51,230,12,206.3,4,12.4
52,268,5,155.1,1,16.0
53,179,14,242.0,4,8.8
54,170,4,101.9,1,11.4
55,130,1,27.4,1,10.7
56,131,11,192.8,2,7.6
57,86,6,113.1,2,7.6
58,178,1,52.9,3,12.1
59,167,13,225.7,4,8.7
60,128,6,183.1,1,8.8
61,105,14,230.3,4,4.0
62,175,15,216.2,4,7.3
63,222,14,303.3,4,9.9
64,154,10,184.4,3,9.2
65,166,3,78.1,1,12.1
66,120,7,130.6,1,9.4
67,136,13,261.9,4,6.5
68,133,4,94.7,1,10.7
69,134,11,178.3,2,8.0
70,117,0,46.7,1,9.8
71,172,11,236.4,4,9.1
72,221,14,214.4,4,10.4
73,98,1,68.8,2,8.0
74,227,14,270.8,3,10.7
75,128,1,100.5,3,9.5
76,130,15,236.3,4,6.0
77,70,7,151.9,3,5.7
78,70,7,142.0,2,6.0
79,190,1,191.3,2,13.6
80,90,9,130.7,2,5.3
81,194,3,59.6,1,13.4
82,153,4,64.3,3,11.9
83,164,1,113.9,2,11.6
84,223,13,197.3,4,10.5
85,146,1,91.3,3,10.3
86,70,9,143.9,2,4.8
87,70,9,215.1,2,4.6
88,203,4,72.5,2,14.2
89,260,1,21.6,1,16.7
90,145,4,137.3,3,9.4
91,111,4,127.5,1,9.4
92,73,5,142.0,2,6.4
93,180,7,216.9,3,10.6
94,70,10,171.3,2,4.7
95,81,14,233.2,3,4.4
96,157,12,240.3,2,7.9
97,156,13,209.0,2,8.8
98,136,1,28.2,1,11.2
99,208,12,186.1,3,10.9
100,82,14,243.3,4,3.4
