shop_id,seats,baristas,distance_center_km,competitors_nearby,owner_age_years,daily_revenue_thousand_kzt
1,28,2,15.7,5,45,178.6
2,33,2,2.8,2,48,262.2
3,27,1,0.8,0,52,229.4
4,44,4,4.9,8,29,313.3
5,30,3,3.8,7,48,247.0
6,64,4,5.1,1,28,490.5
7,24,1,6.1,1,30,222.6
8,25,2,3.3,1,34,233.6
9,20,2,10.1,2,38,215.4
10,46,5,1.1,8,45,350.4
11,23,1,6.6,0,55,218.1
12,56,4,13.8,1,46,406.4
13,28,3,3.6,6,46,245.7
14,51,2,6.3,2,38,368.6
15,69,5,16.0,4,39,492.6
16,28,1,7.2,4,41,191.3
17,10,1,1.4,7,47,109.1
18,50,4,1.9,2,37,405.2
19,50,4,4.9,4,59,424.5
20,39,4,2.4,0,29,398.3
21,40,3,3.7,6,31,325.6
22,58,3,4.5,7,35,382.9
23,15,1,3.1,0,28,226.6
24,40,4,16.0,4,28,288.2
25,67,3,3.6,8,48,408.5
26,31,5,8.9,3,27,252.1
27,39,3,6.9,7,52,293.7
28,39,3,2.2,6,50,314.2
29,56,3,4.0,1,49,429.0
30,16,3,5.7,4,48,187.6
31,34,1,4.7,8,52,213.1
32,53,4,6.7,3,34,396.5
33,59,5,1.1,7,30,497.9
34,23,2,3.3,0,47,258.3
35,47,3,4.1,3,28,318.4
36,37,5,3.1,3,43,376.6
37,47,2,6.9,0,36,352.1
38,63,5,2.8,0,32,468.9
39,17,1,3.5,6,30,143.1
40,28,2,1.7,2,35,243.3
41,36,4,7.3,3,40,315.4
42,10,1,7.9,5,30,90.5
43,14,1,2.4,8,52,120.8
44,37,1,10.6,1,29,265.3
45,50,3,3.0,1,52,380.5
46,43,4,7.2,6,58,285.0
47,33,3,0.8,6,42,224.0
48,41,2,1.9,5,54,328.0
49,48,3,5.0,0,53,402.8
50,46,3,2.2,0,34,430.3
51,19,1,16.0,7,39,89.1
52,17,1,14.9,3,59,114.6
53,53,5,4.7,8,28,406.1
54,14,1,7.0,5,60,156.3
55,54,3,4.4,5,60,438.3
56,50,5,5.5,3,38,429.5
57,30,3,3.4,3,48,280.9
58,42,2,5.9,6,40,266.3
59,50,4,9.9,2,41,336.8
60,35,2,7.5,1,35,319.0
61,28,3,2.7,6,32,245.0
62,50,5,6.5,0,32,486.9
63,49,1,4.4,7,57,329.1
64,56,3,3.5,1,37,466.6
65,24,2,6.6,5,33,213.3
66,45,2,5.4,6,27,308.5
67,40,3,2.9,1,29,347.8
68,55,4,5.8,5,40,412.8
69,35,4,15.9,6,39,254.8
70,24,3,4.8,7,54,219.5
71,45,4,2.4,7,32,362.5
72,15,1,5.5,5,50,150.4
73,25,1,8.7,6,45,113.3
74,37,2,10.2,8,42,217.7
75,57,4,4.5,6,26,382.4
76,18,1,3.5,5,47,164.8
77,33,2,5.8,5,53,259.8
78,33,3,3.9,7,55,283.8
79,10,1,3.7,2,46,101.4
80,46,2,2.5,0,44,388.5
81,31,3,6.4,7,48,234.3
82,35,3,5.1,7,40,274.0
83,43,3,1.3,4,58,335.2
84,21,2,1.2,1,46,268.0
85,22,1,9.1,5,42,136.2
86,60,5,8.0,2,51,466.4
87,39,2,4.5,4,45,236.7
88,56,5,4.8,8,57,402.7
89,61,5,12.4,6,37,426.9
90,45,4,2.0,0,42,440.7
91,25,1,1.1,3,51,209.4
92,67,5,3.1,2,58,523.2
93,36,1,3.1,8,27,197.8
94,31,1,5.4,0,43,273.2
95,46,4,1.9,7,41,426.3
96,53,5,3.4,5,38,462.4
97,48,4,2.7,4,60,376.8
98,34,3,7.7,4,57,262.3
99,54,3,2.6,5,34,400.5
100,29,1,4.5,3,43,224.4
101,51,5,3.0,4,36,414.7
102,29,2,12.9,5,56,231.7
103,41,2,2.4,4,41,335.7
104,28,3,0.6,4,51,223.1
105,45,1,4.8,6,58,285.7
106,49,3,5.7,7,31,379.1
107,29,1,8.1,7,51,128.3
108,16,2,2.9,3,51,256.5
109,40,3,1.6,2,35,376.0
110,36,2,9.2,2,28,244.6
111,44,3,2.8,8,50,295.5
112,52,3,16.0,7,60,329.3
113,29,3,12.7,6,58,205.9
114,60,5,16.0,0,26,500.3
115,60,4,5.2,3,28,457.4
116,36,3,3.6,4,48,307.3
117,21,3,6.6,2,54,244.5
118,39,2,16.0,4,53,224.6
119,35,3,7.5,2,54,290.5
120,53,5,1.2,1,52,518.5
121,44,3,3.8,3,59,341.3
122,54,3,8.8,3,54,410.2
123,39,1,5.7,8,60,205.5
124,43,3,8.8,5,45,329.6
125,29,2,5.9,5,43,216.4
126,19,1,10.1,0,27,199.2
127,61,5,10.2,7,49,401.7
128,43,3,5.9,2,48,341.0
129,20,2,6.6,4,33,195.4
130,31,2,6.8,2,48,272.2
131,47,3,1.2,1,37,406.1
132,35,3,14.3,4,31,255.7
133,47,2,3.8,3,43,308.7
134,42,2,7.1,0,48,354.9
135,55,3,4.6,5,44,417.8
136,43,4,2.6,5,26,362.9
137,64,4,14.9,4,59,394.3
138,33,1,7.8,0,27,260.8
139,56,3,0.9,3,57,440.8
140,41,1,2.9,3,33,318.6
141,39,2,2.8,7,43,248.9
142,44,3,10.9,1,53,319.5
143,21,1,6.3,7,58,123.1
144,52,3,3.8,0,40,419.2
145,27,1,1.9,0,32,256.7
146,36,3,8.7,6,39,266.1
147,38,4,4.9,5,50,336.6
148,56,3,8.6,7,30,353.6
149,47,4,1.1,6,54,404.7
150,64,4,5.8,8,35,433.4
151,62,3,6.6,1,25,474.9
152,26,1,6.5,6,25,181.1
153,32,2,1.5,7,56,251.9
154,25,2,13.4,5,45,174.7
155,49,2,16.0,5,25,293.2
156,20,1,7.9,6,46,163.2
157,17,1,3.9,5,42,148.2
158,15,2,2.2,6,31,179.6
159,40,4,3.9,7,39,281.7
160,36,3,16.0,4,31,207.8
161,50,3,2.7,3,36,381.1
162,36,3,12.1,6,34,200.0
163,32,1,1.5,8,40,204.3
164,47,2,1.8,5,41,325.5
165,40,4,3.9,5,33,382.4
166,31,1,1.6,6,49,180.3
167,60,5,8.8,6,32,434.3
168,22,4,1.2,1,53,305.7
169,45,3,3.6,5,49,431.3
170,46,4,0.9,0,60,389.1
171,52,2,9.6,8,43,268.3
172,45,2,1.1,7,28,320.5
173,36,3,5.1,3,28,326.4
174,63,4,7.6,2,45,446.2
175,30,3,0.6,7,59,266.4
176,35,4,1.2,6,54,376.2
177,41,3,9.6,2,45,289.8
178,40,2,5.9,4,38,288.3
179,44,1,1.1,2,47,347.2
180,48,3,0.8,4,49,341.5
181,52,3,3.6,6,51,380.0
182,43,3,1.5,8,47,345.4
183,44,4,5.3,7,31,364.6
184,26,1,7.1,2,40,200.7
185,48,3,2.0,5,56,340.4
186,47,5,14.6,7,52,313.2
187,49,3,4.2,2,54,370.5
188,37,4,2.2,4,45,321.5
189,11,1,2.7,0,53,178.9
190,77,3,6.8,3,32,518.0
191,44,3,11.6,8,48,285.4
192,49,2,4.8,5,54,298.3
193,10,1,6.1,0,37,160.6
194,59,5,1.8,3,34,476.8
195,31,2,3.9,0,50,275.0
196,38,3,3.3,3,58,381.6
197,27,1,6.2,5,29,162.8
198,50,2,2.7,7,54,339.6
199,30,2,2.0,0,29,315.7
200,60,5,2.4,4,46,503.3
201,51,2,5.6,7,39,326.3
202,57,5,6.5,3,33,453.9
203,11,3,6.4,0,49,207.0
204,50,5,1.6,3,37,453.7
205,26,1,1.2,6,46,208.5
206,10,1,5.7,7,31,71.2
207,50,1,2.6,1,40,337.5
208,47,5,5.1,2,34,447.4
209,38,1,4.7,6,47,257.4
210,38,2,1.6,7,34,259.4
211,26,5,4.7,5,37,287.5
212,52,4,2.3,4,48,432.4
213,51,3,4.0,5,28,383.7
214,48,3,3.0,7,40,330.8
215,41,3,1.6,7,26,277.9
216,39,2,2.9,7,28,277.8
217,57,3,6.7,5,25,385.8
218,23,1,7.4,8,60,103.8
219,31,1,3.3,0,49,265.4
220,33,3,2.1,7,33,262.4
221,40,2,4.0,8,53,289.4
222,42,3,3.7,2,38,359.6
223,13,1,2.0,3,32,150.4
224,42,3,1.5,7,47,333.7
225,37,2,12.9,1,45,294.1
226,32,3,5.1,8,25,256.1
227,39,1,7.4,6,50,204.5
228,38,1,2.7,6,56,254.3
229,27,4,5.9,6,28,223.4
230,21,1,2.4,0,26,205.5
231,64,4,16.0,5,49,416.1
232,55,3,7.2,3,58,394.2
233,58,4,1.6,7,57,390.4
234,17,1,9.9,1,39,127.8
235,54,5,2.9,1,59,479.3
236,27,1,4.7,5,38,161.2
237,47,5,3.6,8,43,373.7
238,46,3,3.7,3,50,347.7
239,46,2,7.0,1,37,337.0
240,50,2,16.0,7,28,242.3
241,46,4,1.9,6,48,368.8
242,18,1,5.5,7,43,110.6
243,48,3,3.2,8,55,298.3
244,49,4,4.6,8,30,348.4
245,36,1,2.6,7,36,272.3
246,26,2,6.7,0,50,274.8
247,42,3,1.6,2,48,413.4
248,22,1,5.7,3,39,185.9
249,39,3,7.1,4,27,360.7
250,47,3,4.5,3,30,391.0
251,50,4,11.2,8,41,308.8
252,57,2,10.5,4,39,321.1
253,34,2,3.1,7,45,219.4
254,49,3,5.9,5,43,357.2
255,30,2,5.5,2,26,264.9
256,62,4,8.0,7,57,441.6
257,49,5,1.5,5,32,411.1
258,26,3,5.4,8,56,215.6
259,25,2,3.4,8,28,233.2
260,21,1,7.1,2,46,204.5
261,31,5,7.9,5,40,269.2
262,45,4,4.2,0,56,390.2
263,42,1,0.6,2,29,326.6
264,49,3,2.2,3,53,385.8
265,59,5,4.1,0,32,497.5
266,67,4,2.0,0,32,534.1
267,47,3,5.3,3,25,332.8
268,50,3,3.0,4,45,398.1
