student_id,study_hours_per_week,classes_attended,phone_hours_per_day,work_hours_per_week,siblings,exam_score
1,9.6,19,4.9,13,3,55.4
2,5.5,17,5.2,26,1,36.6
3,9.8,24,2.4,20,0,63.3
4,11.6,24,6.8,2,2,64.4
5,9.2,23,5.5,25,2,51.1
6,7.9,25,5.6,24,0,49.8
7,9.2,22,6.1,21,1,53.4
8,13.5,23,3.4,8,0,73.5
9,2.2,21,3.9,21,2,41.6
10,14.6,30,7.0,30,0,68.5
11,6.0,27,5.9,22,1,48.9
12,6.9,20,3.6,5,2,62.7
13,6.0,21,5.7,5,3,50.5
14,5.1,20,2.1,14,1,51.6
15,7.0,23,2.5,6,3,58.8
16,9.8,26,9.0,4,1,53.5
17,9.5,24,3.7,25,0,63.4
18,9.5,30,4.8,3,4,65.5
19,7.3,25,2.8,9,3,63.1
20,11.3,24,1.8,17,2,69.7
21,3.7,13,4.2,2,0,45.5
22,9.7,24,3.5,30,3,60.0
23,9.0,23,7.2,2,0,53.3
24,11.0,20,3.5,16,3,73.4
25,12.6,30,7.0,15,2,63.4
26,0.0,20,1.4,0,2,45.1
27,7.5,24,2.8,18,1,59.8
28,7.0,21,1.8,29,3,57.3
29,4.5,27,1.1,2,2,55.3
30,0.2,8,5.4,18,3,21.7
31,11.6,19,1.5,16,3,73.6
32,12.2,22,6.2,29,2,58.8
33,10.4,20,5.0,6,4,47.0
34,8.6,19,4.1,8,1,58.8
35,6.3,16,9.0,12,3,40.7
36,8.4,20,6.9,6,3,59.0
37,8.1,19,6.4,10,1,57.2
38,0.0,7,5.6,20,3,23.3
39,11.1,26,2.5,15,0,75.4
40,12.5,29,2.6,12,3,77.2
41,7.0,21,6.1,12,4,54.8
42,7.8,23,6.3,10,3,58.5
43,17.8,30,9.0,7,2,76.7
44,3.8,21,2.6,4,2,56.4
45,4.8,17,5.7,18,0,41.6
46,7.7,20,2.8,9,0,61.1
47,8.0,17,2.2,1,0,64.8
48,9.5,20,5.8,16,3,56.4
49,8.8,30,4.0,8,0,68.1
50,12.5,29,4.2,13,0,74.7
51,7.5,20,2.3,26,2,53.4
52,5.5,23,3.2,23,2,52.5
53,13.3,24,8.9,19,1,56.3
54,9.8,23,9.0,14,4,46.3
55,4.9,29,6.4,6,0,58.2
56,11.4,22,2.4,3,1,76.0
57,10.1,24,3.2,15,2,71.2
58,9.6,23,1.2,30,4,68.8
59,4.6,18,5.3,19,2,42.6
60,5.6,16,3.7,20,1,43.3
61,6.9,26,3.3,6,4,60.5
62,13.4,24,5.7,11,1,64.6
63,0.0,15,3.1,26,1,29.7
64,11.0,26,3.9,29,3,65.4
65,10.9,22,2.2,8,1,71.3
66,14.9,29,2.9,19,1,81.4
67,6.9,12,2.1,16,4,50.4
68,4.9,19,3.7,18,1,48.8
69,3.3,10,3.0,3,4,38.8
70,6.6,19,4.6,2,2,56.1
