flight_id,distance_km,checked_bags,days_before_departure,stops,seat_row,price_thousand_kzt
1,3921,1,51,1,24,145.8
2,1507,1,35,1,2,62.9
3,1169,0,22,1,22,48.1
4,1818,0,42,0,13,83.6
5,1105,0,12,0,30,73.2
6,3633,2,27,1,3,165.8
7,3036,1,56,2,10,105.3
8,2806,2,40,2,8,94.1
9,3539,2,16,0,20,188.2
10,1629,1,8,0,31,108.0
11,952,0,22,0,17,61.9
12,2530,1,38,1,12,111.8
13,2494,2,40,0,35,132.7
14,1387,1,13,0,2,88.7
15,2709,0,19,0,29,120.5
16,3598,2,90,2,10,123.9
17,1693,1,20,1,1,94.8
18,2385,0,32,2,32,66.9
19,2527,0,28,0,12,113.9
20,2662,2,28,1,29,111.5
21,3172,0,9,1,22,127.7
22,2759,1,62,1,4,111.9
23,3530,0,46,0,12,133.4
24,1430,1,16,0,5,100.2
25,1751,1,7,1,30,88.3
26,2979,1,23,0,12,151.6
27,1780,0,7,1,13,81.2
28,1668,1,7,1,10,76.5
29,2157,1,42,1,7,87.1
30,2535,1,43,0,3,129.4
31,1727,0,1,0,7,78.0
32,2763,1,4,0,2,152.2
33,3518,1,36,0,20,163.2
34,505,2,21,1,30,51.3
35,500,0,56,0,25,30.7
36,2915,1,47,2,25,111.3
37,1443,1,46,1,9,53.0
38,3584,1,16,1,10,154.1
39,4500,2,6,1,13,180.7
40,2065,0,7,0,21,106.2
41,1836,2,33,1,11,99.5
42,2193,1,23,1,29,96.4
43,2467,2,8,0,5,133.5
44,2157,0,47,0,21,90.0
45,1341,0,88,0,1,58.0
46,2594,1,23,2,29,99.0
47,500,1,19,1,4,36.3
48,2574,0,6,0,3,120.0
49,2295,0,33,2,3,74.1
50,3443,1,25,0,23,165.8
51,2355,1,5,1,9,102.9
52,2661,1,9,0,3,134.0
53,1301,1,30,2,12,39.2
54,2366,1,5,1,35,114.5
55,2938,2,23,1,33,127.1
56,3170,0,63,0,7,123.7
57,2313,1,47,0,25,114.9
58,3706,1,18,0,33,166.7
59,3412,2,3,0,9,166.3
60,1581,1,27,1,13,68.8
61,500,1,16,0,22,61.3
62,1157,2,20,0,23,95.4
63,2265,1,75,0,12,96.4
64,2351,2,52,1,22,122.3
65,1921,1,49,0,31,92.5
66,1801,1,9,0,7,101.9
67,2817,0,90,1,34,94.5
68,1641,0,42,1,7,64.5
69,500,0,36,1,21,24.8
70,1905,1,90,0,10,79.4
71,3167,1,45,0,25,145.3
72,1392,0,38,1,35,46.8
73,2808,1,12,0,21,131.2
74,2746,1,25,2,25,92.6
75,2185,0,8,2,35,70.0
76,2588,0,64,0,7,103.6
77,1328,1,4,1,12,72.3
78,2257,0,46,1,27,78.7
79,3625,1,12,2,11,140.2
80,2128,1,10,0,20,117.3
81,1153,0,4,0,27,71.1
82,3591,0,40,2,14,114.9
83,907,2,54,0,33,55.4
84,3770,1,64,0,14,162.8
85,2290,0,22,1,26,83.0
86,2787,2,7,0,28,146.5
87,2536,1,6,2,2,99.1
88,2219,1,11,0,13,118.6
89,3225,0,30,1,31,118.3
90,2127,0,11,1,7,88.3
91,1423,0,43,1,3,51.7
92,2243,0,16,1,25,79.7
93,542,1,82,0,6,35.5
94,2064,1,19,0,23,101.6
95,517,1,16,1,14,27.9
96,2223,0,11,1,9,89.1
97,2893,1,22,1,16,125.8
98,2814,1,9,1,18,122.0
99,2070,0,40,1,9,68.3
100,500,2,90,1,17,30.4
101,2556,0,14,0,5,125.7
102,662,0,19,1,1,35.4
103,1250,0,23,0,1,78.8
104,1687,0,55,1,13,64.6
105,776,0,29,1,34,38.5
106,1651,0,90,1,16,56.1
107,500,2,35,1,28,65.5
108,1119,1,36,0,26,71.2
109,2869,1,2,1,10,118.1
110,4500,0,38,0,14,181.0
111,1787,0,21,2,17,65.4
112,3051,1,9,2,24,113.8
113,1097,1,20,0,14,71.5
114,1910,0,59,1,21,54.3
115,2088,0,16,0,10,95.7
116,1728,1,20,1,24,78.7
117,2736,1,40,1,12,114.5
118,2833,2,2,1,22,139.2
119,2134,1,25,2,35,80.9
120,1295,1,49,1,22,51.5
121,1724,1,6,0,19,99.3
122,2055,1,8,0,10,125.6
123,1599,2,28,1,25,87.8
124,2230,0,70,0,14,87.1
125,2140,0,26,1,17,72.7
126,2383,0,8,2,6,67.9
127,1887,0,53,1,4,71.9
128,2711,1,29,1,33,111.5
129,3625,0,90,0,24,129.9
130,1567,1,20,0,20,88.5
131,2928,2,53,1,24,136.0
132,1425,1,38,0,11,90.0
133,2155,1,41,1,27,106.9
134,500,0,5,1,31,34.4
135,2286,1,21,0,34,97.5
136,851,1,11,1,6,72.3
137,603,2,22,0,15,78.4
138,1958,0,46,0,33,85.4
139,3990,1,21,1,2,145.7
140,1482,2,53,0,21,95.1
141,1201,1,9,2,34,56.2
142,2645,2,15,0,4,143.7
143,2814,1,28,1,31,130.7
144,500,1,17,1,5,24.5
145,3351,0,7,1,22,126.6
146,1265,0,50,1,19,50.9
147,500,0,64,0,14,30.9
148,2135,2,15,0,3,128.1
149,2569,2,47,0,1,134.6
150,1740,0,20,0,21,83.7
151,2118,0,44,0,32,96.5
152,3823,2,42,0,27,174.7
153,1634,0,42,2,34,52.6
154,2419,1,11,1,17,99.9
155,2996,1,24,1,5,117.8
156,1703,0,38,1,29,63.0
157,1532,0,64,0,25,77.2
158,1486,0,16,1,16,53.3
159,1580,1,24,0,31,83.4
160,1410,1,90,0,25,83.8
161,2125,1,33,1,7,92.8
162,670,1,11,1,15,42.5
163,3161,1,11,0,30,148.0
164,2768,1,7,1,5,130.3
165,1102,0,8,0,3,72.4
166,2207,0,31,0,31,106.8
167,1834,1,36,0,12,88.4
168,2916,1,4,0,6,130.7
169,2088,1,84,0,27,89.7
170,1843,1,45,0,34,89.5
171,3078,1,18,0,31,137.8
172,1510,0,18,0,10,71.6
173,2084,1,9,0,1,116.7
174,3330,0,10,1,21,133.7
175,977,0,28,0,28,53.7
176,1532,1,14,2,24,72.6
177,1867,2,20,0,2,103.2
178,4500,1,20,0,24,191.8
179,2862,0,3,0,30,138.6
180,3464,0,65,1,30,115.8
181,2303,1,20,1,25,94.9
182,1699,2,7,0,20,116.7
183,2909,1,18,1,29,135.3
184,3298,1,39,1,32,147.9
185,1773,0,35,1,14,79.0
186,2617,2,3,0,35,135.5
187,3395,1,74,0,29,142.8
188,2489,1,19,1,31,118.1
189,2012,1,90,0,8,88.5
190,607,0,15,1,22,33.1
191,2801,0,36,0,16,122.4
192,2665,1,2,2,14,111.6
193,1772,0,10,0,15,83.9
194,2003,1,14,2,35,82.1
195,708,1,23,1,15,38.8
196,2874,1,27,0,3,140.2
197,2431,0,13,0,30,114.8
198,1356,1,11,0,24,90.7
199,3415,1,23,1,4,136.9
200,2592,2,28,0,24,148.9
201,1998,0,1,0,17,90.3
202,4364,1,20,1,31,173.5
203,3708,1,7,0,4,172.2
204,3059,0,56,0,31,120.6
205,813,1,35,0,1,55.2
206,1684,0,8,2,18,72.1
207,1857,1,20,0,24,99.1
208,1391,1,46,0,9,67.0
209,2239,1,26,0,17,116.6
210,2478,1,3,1,26,112.5
211,2610,0,35,0,6,108.3
212,2745,1,7,1,5,119.3
213,910,0,26,1,13,44.4
214,2462,1,23,0,7,118.5
215,1440,0,71,1,9,49.3
216,2365,1,24,0,23,113.7
217,3801,2,27,1,12,176.8
218,3379,1,9,2,28,124.7
219,1898,1,19,0,33,96.3
220,2211,1,35,1,33,95.6
221,3494,2,46,0,11,172.4
222,3922,1,7,1,6,168.6
223,2695,0,31,0,24,122.8
224,3197,0,58,0,3,130.6
225,2501,1,22,0,2,139.0
226,2836,1,32,2,1,103.9
227,1913,1,33,0,7,98.4
228,2831,1,11,1,14,126.9
229,2171,1,37,1,21,82.5
230,1747,0,11,1,9,74.2
231,932,1,21,0,34,65.5
232,1784,2,14,0,20,109.3
233,2209,1,6,1,13,104.4
234,2307,1,35,0,14,124.1
235,3494,1,49,0,19,148.1
236,1864,0,15,1,19,72.7
237,2280,1,17,0,7,123.6
238,1503,0,22,0,31,77.3
239,3384,2,19,0,1,178.8
240,4181,2,21,1,28,190.9
241,3268,0,90,1,30,116.7
242,2121,1,18,0,34,118.3
243,1871,2,37,1,11,92.9
244,1689,2,43,0,18,99.4
245,1548,1,3,1,7,85.6
246,2622,0,22,0,30,124.4
247,1215,2,20,1,29,72.7
248,2276,1,47,1,22,88.8
249,1875,0,32,1,35,71.0
250,3330,1,82,1,29,122.0
251,1947,1,14,0,1,113.3
252,2569,2,23,1,5,121.1
253,2853,0,32,0,30,124.6
254,853,2,8,1,7,65.3
255,500,1,53,1,19,34.1
256,1491,1,7,1,14,72.6
257,2327,0,10,0,25,106.4
258,1425,0,17,1,12,73.0
259,3413,1,16,1,32,134.6
260,1226,2,31,0,4,80.7
261,2137,1,50,1,14,92.8
262,2567,1,64,0,6,108.2
263,978,0,20,1,8,34.7
264,1301,1,47,1,12,59.0
265,1362,1,2,2,11,68.2
266,4120,1,18,1,5,159.7
267,2708,0,5,0,9,128.5
268,985,0,19,0,28,43.2
269,2240,1,90,0,23,83.1
270,3187,1,32,2,35,119.8
271,500,1,37,0,27,41.1
272,3697,0,6,2,11,135.6
273,1216,2,18,1,16,70.6
274,2427,0,18,1,4,96.1
275,1243,0,19,1,23,59.2
276,1877,2,28,0,27,103.3
277,1034,0,36,1,19,30.3
278,500,0,28,0,28,37.2
279,1779,1,7,0,24,98.2
280,2687,0,24,0,4,118.9
281,1967,0,7,1,15,88.2
282,3887,1,24,0,3,174.2
283,2424,0,17,0,5,104.6
284,2675,2,56,0,34,138.5
285,3268,1,35,0,19,156.3
286,2958,2,16,0,15,160.0
287,1587,0,33,1,17,66.2
288,2200,1,86,0,32,102.9
289,1289,0,6,1,33,55.0
290,2687,1,13,0,34,125.0
291,1651,2,41,0,22,99.4
292,1438,0,90,0,1,62.9
293,2914,1,27,0,10,130.5
294,1490,1,12,2,18,67.0
295,3077,1,90,0,9,123.2
296,1779,1,19,0,19,86.2
297,3002,1,18,1,26,114.8
298,2306,1,90,1,9,83.9
299,712,0,36,0,15,54.2
300,1239,0,4,0,8,74.9
301,2622,0,90,1,27,81.1
302,2022,0,10,0,13,98.0
303,3144,1,41,1,27,119.0
304,4130,1,22,0,21,175.4
305,2224,1,24,1,10,97.9
306,579,1,48,0,29,57.4
307,2535,1,26,0,33,121.3
308,3144,2,26,1,26,140.2
309,2692,2,10,1,13,124.4
310,2701,1,25,2,33,87.6
311,2453,1,15,0,23,117.4
312,1495,1,56,0,22,79.4
313,2414,1,44,1,16,108.5
314,1905,0,47,0,23,87.4
315,2275,0,44,0,4,111.5
316,1948,0,31,1,12,63.0
317,2615,1,13,1,28,120.8
318,1051,0,11,1,19,55.2
319,2990,1,3,2,20,103.1
320,4112,2,40,0,19,169.0
321,530,1,10,0,34,46.2
322,1113,0,22,0,2,70.2
323,3129,1,6,0,22,147.9
324,1469,0,13,0,3,74.5
325,2131,0,10,2,5,68.5
326,2138,1,28,0,19,104.5
327,2250,1,9,0,32,117.9
328,500,1,5,0,10,61.9
329,916,0,19,1,19,46.5
330,2141,1,40,0,13,102.7
331,4054,2,22,1,21,178.0
332,3198,2,4,0,12,172.4
333,3405,2,8,1,30,158.1
334,500,0,51,0,2,34.7
335,2067,1,26,0,8,102.4
336,1929,0,35,0,13,84.0
337,3863,1,8,0,14,182.2
338,2497,2,26,1,22,131.5
339,2479,1,22,1,29,102.7
340,2248,2,13,0,31,118.9
341,2570,1,13,0,15,135.8
342,833,0,18,0,26,57.6
343,2380,0,34,0,14,112.2
344,1614,2,75,0,17,94.5
345,2494,0,9,1,24,97.0
346,3402,1,8,1,10,139.5
