hotel_id,room_area_m2,stars,distance_center_km,hotel_age_years,photos_in_listing,price_thousand_kzt
1,38,3,16.0,30,26,47.6
2,18,2,10.6,27,39,27.2
3,31,4,2.5,11,15,46.3
4,15,1,4.6,13,24,20.4
5,26,2,13.3,1,13,34.3
6,26,2,3.9,8,31,38.2
7,33,2,5.6,2,36,42.7
8,23,3,2.9,34,31,38.7
9,33,2,8.1,14,20,41.1
10,20,1,3.9,11,38,31.7
11,23,2,2.7,33,32,36.7
12,19,4,3.3,2,31,42.7
13,43,4,10.8,19,21,56.0
14,12,1,4.5,16,32,16.6
15,33,3,3.0,19,33,53.1
16,14,3,3.0,25,30,33.0
17,28,5,8.2,33,16,48.6
18,30,4,4.2,27,32,49.3
19,37,4,3.1,25,35,63.8
20,34,3,8.9,5,4,46.6
21,19,3,15.6,25,9,29.4
22,31,4,8.7,29,29,46.4
23,36,4,10.6,3,17,52.3
24,41,3,5.1,30,23,52.7
25,24,2,10.5,17,12,25.5
26,24,3,8.2,4,32,35.4
27,30,4,5.1,33,11,50.9
28,18,2,6.0,32,26,30.9
29,33,4,1.8,27,38,57.2
30,38,4,8.3,32,17,52.0
31,23,2,7.3,32,17,34.5
32,33,4,7.3,27,23,48.4
33,34,3,5.1,7,11,47.9
34,39,4,6.5,27,36,54.9
35,23,3,3.2,23,14,39.2
36,17,3,7.0,6,32,36.6
37,13,1,7.1,13,34,17.2
38,32,3,2.5,21,8,46.3
39,37,4,5.8,19,18,56.6
40,32,4,6.4,17,11,52.7
41,36,3,2.6,4,39,49.4
42,22,2,2.8,26,28,34.1
43,34,5,3.0,12,27,54.2
44,16,1,16.0,19,39,16.3
45,22,3,5.0,27,20,38.3
46,12,1,3.5,33,13,18.0
47,30,2,1.2,33,40,40.4
48,26,3,1.1,9,38,48.3
49,22,3,5.5,21,39,37.9
50,28,3,3.0,40,20,43.5
51,19,2,1.2,40,25,28.8
52,44,5,2.3,15,17,65.5
53,21,3,5.3,17,5,38.8
54,45,5,6.1,11,24,67.6
55,36,5,3.5,25,10,58.8
56,31,5,3.3,5,29,56.5
57,43,5,8.3,32,25,59.1
58,31,3,8.0,32,24,46.3
59,31,3,9.8,28,11,42.5
60,40,4,3.5,13,19,58.0
61,25,4,6.5,29,27,45.2
62,33,4,1.1,27,36,57.0
63,52,5,1.5,24,31,72.6
64,31,4,3.5,25,25,52.2
65,21,3,5.0,26,36,37.3
66,21,2,6.2,34,34,25.4
67,20,2,6.4,25,26,30.7
68,30,4,6.0,27,10,49.6
69,37,5,2.7,6,35,58.0
70,35,3,0.7,16,9,53.0
71,19,2,7.3,19,33,27.9
72,35,4,9.7,1,16,52.4
73,43,5,1.8,9,7,70.5
74,24,4,3.7,19,16,48.0
75,38,4,5.1,13,36,56.5
76,39,5,6.4,40,29,60.8
77,39,2,6.0,1,30,52.9
78,12,1,4.5,39,26,16.4
79,32,4,3.6,6,11,54.5
80,27,3,1.1,1,12,49.3
81,29,5,3.2,20,17,52.6
82,19,4,4.7,2,25,41.9
83,48,5,8.1,12,16,67.7
84,26,3,2.5,15,13,43.5
85,36,5,9.3,10,24,60.6
86,35,4,13.2,16,18,50.1
87,27,3,4.1,13,31,46.3
88,30,4,11.1,40,19,40.8
89,40,5,16.0,8,4,54.8
90,18,3,3.9,30,9,30.9
91,18,1,3.6,18,17,26.5
92,26,3,7.9,28,7,37.5
93,36,3,1.2,28,20,47.1
94,23,3,1.8,31,31,37.5
95,36,5,8.0,2,39,55.4
96,26,2,6.3,3,34,36.8
97,17,1,10.5,11,37,18.3
98,27,2,5.3,3,24,41.4
99,22,4,4.2,6,29,40.5
100,29,5,3.4,18,27,50.5
101,35,5,7.2,13,14,52.1
102,35,3,1.2,16,37,51.2
103,33,4,8.2,39,8,47.4
104,19,3,7.8,17,19,32.2
