car_id,engine_power_hp,car_age_years,mileage_thousand_km,previous_owners,photos_in_listing,price_million_kzt
1,107,13,223.1,3,9,5.9
2,70,9,162.5,3,27,4.8
3,183,9,134.4,2,19,10.5
4,191,12,180.1,2,5,9.7
5,133,0,82.5,3,16,10.8
6,170,6,178.0,3,26,9.9
7,244,0,56.0,1,29,16.0
8,208,2,53.5,1,28,14.2
9,189,8,126.6,3,24,11.6
10,188,9,145.8,3,16,10.0
11,103,14,212.5,4,23,5.2
12,203,6,99.4,1,18,13.2
13,70,13,206.0,3,17,3.2
14,132,6,102.5,1,22,8.9
15,126,0,133.7,2,28,9.8
16,70,1,33.8,3,27,8.2
17,144,13,193.6,3,28,7.4
18,240,6,111.9,3,28,14.8
19,131,3,103.4,3,4,9.9
20,84,0,81.2,1,17,7.6
21,145,3,128.2,3,14,10.0
22,197,14,217.8,2,22,10.6
23,161,2,31.9,1,13,11.9
24,150,5,99.6,3,21,10.6
25,72,4,78.8,2,28,6.2
26,178,11,163.1,3,22,9.1
27,177,6,143.0,2,17,11.0
28,224,9,164.9,4,5,12.5
29,232,1,39.2,1,27,15.7
30,188,7,149.4,1,6,12.3
31,70,8,141.7,2,10,4.7
32,71,5,140.3,1,7,6.1
33,90,10,193.7,4,9,5.8
34,166,0,87.1,3,17,10.7
35,107,1,88.1,2,12,9.2
36,222,10,147.4,4,6,11.6
37,163,9,139.1,4,16,8.9
38,170,1,111.8,3,29,11.6
39,191,9,142.5,2,21,10.6
40,169,3,59.7,1,15,12.7
41,72,7,111.7,1,23,6.5
42,285,15,220.8,2,7,14.9
43,230,2,51.7,3,5,15.0
44,234,6,96.2,1,22,14.2
45,109,12,192.7,2,16,6.6
46,70,5,154.0,3,15,5.0
47,70,13,227.3,4,22,2.9
48,92,11,212.5,3,10,6.3
49,199,8,200.0,2,6,12.1
50,200,4,61.3,2,7,13.5
51,230,12,206.3,4,14,12.4
52,268,5,155.1,1,15,16.0
53,179,14,242.0,4,9,8.8
54,170,4,101.9,1,18,11.4
55,130,1,27.4,1,30,10.7
56,131,11,192.8,2,27,7.6
57,86,6,113.1,2,28,7.6
58,178,1,52.9,3,6,12.1
59,167,13,225.7,4,27,8.7
60,128,6,183.1,1,21,8.8
61,105,14,230.3,4,8,4.0
62,175,15,216.2,4,25,7.3
63,222,14,303.3,4,19,9.9
64,154,10,184.4,3,12,9.2
65,166,3,78.1,1,19,12.1
66,120,7,130.6,1,23,9.4
67,136,13,261.9,4,8,6.5
68,133,4,94.7,1,22,10.7
69,134,11,178.3,2,27,8.0
70,117,0,46.7,1,5,9.8
71,172,11,236.4,4,17,9.1
72,221,14,214.4,4,7,10.4
73,98,1,68.8,2,18,8.0
74,227,14,270.8,3,27,10.7
75,128,1,100.5,3,11,9.5
76,130,15,236.3,4,10,6.0
77,70,7,151.9,3,30,5.7
78,70,7,142.0,2,13,6.0
79,190,1,191.3,2,20,13.6
80,90,9,130.7,2,19,5.3
81,194,3,59.6,1,11,13.4
82,153,4,64.3,3,14,11.9
83,164,1,113.9,2,21,11.6
84,223,13,197.3,4,17,10.5
85,146,1,91.3,3,5,10.3
86,70,9,143.9,2,28,4.8
87,70,9,215.1,2,29,4.6
88,203,4,72.5,2,16,14.2
89,260,1,21.6,1,24,16.7
90,145,4,137.3,3,20,9.4
91,111,4,127.5,1,12,9.4
92,73,5,142.0,2,30,6.4
93,180,7,216.9,3,19,10.6
94,70,10,171.3,2,23,4.7
95,81,14,233.2,3,20,4.4
96,157,12,240.3,2,9,7.9
97,156,13,209.0,2,20,8.8
98,136,1,28.2,1,5,11.2
99,208,12,186.1,3,16,10.9
100,82,14,243.3,4,23,3.4
101,204,4,127.8,1,17,13.3
102,170,13,316.9,2,29,8.8
103,130,8,129.5,2,28,8.7
104,158,9,152.8,2,29,9.6
105,93,6,205.0,3,6,6.4
106,222,12,236.1,2,28,12.0
107,228,11,201.0,2,15,12.4
108,214,13,234.3,4,28,9.8
109,168,7,240.1,1,10,9.9
110,180,6,97.1,2,15,12.1
111,77,1,31.6,3,15,7.7
112,131,5,143.6,2,20,9.2
113,138,8,137.6,3,6,9.4
114,144,3,60.6,1,10,11.5
115,187,14,227.4,2,25,9.2
116,128,0,27.5,1,13,11.0
117,111,0,16.9,3,9,9.2
118,218,8,217.9,2,25,11.9
119,135,11,211.1,2,13,7.9
120,116,0,14.9,3,6,9.0
121,70,12,234.1,3,19,4.4
122,76,10,160.2,3,24,5.8
123,139,15,233.1,3,18,6.4
124,167,9,181.7,2,20,9.6
125,70,13,218.6,4,27,3.4
126,150,13,239.5,2,10,7.4
127,169,0,84.7,1,29,13.1
128,123,5,192.6,1,4,8.4
129,154,10,185.6,4,13,8.7
130,229,12,181.8,3,21,12.2
131,110,7,144.0,2,15,7.9
132,70,8,139.7,1,21,5.4
133,130,8,208.5,1,16,7.5
134,102,3,70.3,3,5,8.5
135,148,6,110.9,1,6,10.3
136,189,10,168.3,4,10,10.3
137,200,4,88.9,2,5,13.6
138,169,9,171.3,4,9,8.8
139,228,7,165.8,3,13,12.7
140,171,15,309.0,2,18,7.4
141,207,5,116.2,3,24,13.6
142,170,12,181.8,3,24,9.1
143,166,2,64.4,1,24,12.5
144,123,11,199.2,3,18,6.3
145,151,11,214.2,4,13,7.2
146,119,5,216.9,2,15,8.1
147,134,9,156.1,4,21,8.0
148,155,14,252.4,4,22,7.3
149,214,4,66.6,3,15,13.5
150,137,0,69.4,2,28,11.5
151,185,13,195.8,2,4,9.4
152,83,6,133.6,1,30,7.8
153,135,12,201.8,2,18,6.8
154,221,14,232.6,2,27,10.6
155,170,3,117.5,2,14,11.5
156,70,1,64.4,2,20,7.2
157,149,7,189.3,1,23,10.0
158,137,7,174.4,1,27,8.7
159,85,3,137.4,1,12,6.9
160,70,12,203.5,2,23,4.2
161,98,5,215.3,2,8,7.3
162,92,0,62.7,1,26,9.6
163,190,8,157.9,2,19,10.9
164,182,5,109.5,1,4,12.1
165,186,2,85.8,2,21,13.3
166,210,10,237.3,4,20,11.5
167,70,9,172.6,4,19,4.5
168,136,5,143.6,3,5,8.8
169,169,15,225.4,4,11,7.3
170,114,11,196.6,4,12,6.8
171,116,7,171.8,3,16,6.6
172,107,5,87.0,2,23,8.5
173,160,5,160.3,2,14,10.5
174,148,10,191.4,2,24,8.5
175,218,12,282.5,4,30,10.9
176,172,8,141.1,3,25,9.7
177,162,14,249.8,3,19,8.0
178,149,1,58.9,3,8,11.1
179,107,14,211.8,4,8,6.0
180,158,9,143.4,4,6,9.3
181,196,11,163.3,2,27,11.1
182,177,8,170.1,2,11,10.6
183,92,9,147.9,3,10,6.4
184,70,6,145.9,1,4,6.1
185,189,10,208.8,3,9,10.4
186,161,13,230.2,2,29,9.0
187,167,3,111.6,1,20,11.4
188,104,9,277.3,4,14,5.1
189,192,0,39.1,1,27,13.4
190,191,10,152.3,3,29,11.4
191,137,15,246.8,3,6,7.1
192,183,2,49.6,3,27,12.7
193,101,5,106.2,2,6,8.5
194,147,6,125.9,1,21,10.8
195,70,1,24.1,1,7,7.7
196,136,4,146.5,2,11,9.6
197,287,12,212.6,2,21,15.9
198,190,11,275.1,4,21,9.7
199,246,11,164.5,4,7,13.3
200,184,1,95.9,1,8,12.6
201,165,5,129.4,3,12,10.9
202,164,5,145.3,3,15,9.5
203,131,8,163.5,1,25,9.2
204,193,6,120.2,1,14,11.5
205,112,4,100.5,2,12,8.4
206,156,6,106.5,3,14,10.4
207,320,5,78.7,1,30,19.1
208,181,11,209.3,4,8,9.5
209,127,9,221.8,3,12,6.9
210,212,3,146.0,2,20,14.4
211,177,15,255.3,2,28,9.2
212,139,5,120.8,2,17,9.5
213,92,12,214.2,3,4,5.9
214,144,1,55.7,3,4,10.5
215,129,5,163.8,3,15,8.6
216,156,12,169.2,2,14,8.5
217,174,0,25.8,2,27,13.4
218,169,4,105.4,2,20,12.1
219,102,12,200.3,4,26,4.9
220,182,5,105.1,1,7,11.4
221,176,15,293.5,2,17,8.7
222,72,4,143.2,3,27,6.2
223,171,9,197.6,3,6,9.9
224,148,7,183.8,3,4,8.8
225,174,10,148.6,2,5,10.8
226,92,12,177.2,4,15,4.9
227,134,2,116.1,2,9,9.9
228,139,10,170.8,4,10,7.1
229,84,14,280.3,2,28,4.0
230,180,7,143.3,2,18,10.9
231,135,7,130.5,3,28,8.5
232,173,14,320.0,2,21,8.2
233,96,8,116.9,1,19,8.0
234,74,10,217.7,4,25,4.8
235,87,14,216.6,2,19,4.6
236,70,15,253.6,3,19,4.0
237,108,14,264.2,3,15,5.0
238,173,10,225.4,4,24,9.1
239,232,7,123.0,3,18,13.0
240,217,0,18.8,2,21,14.8
241,225,2,58.4,2,8,16.5
242,225,11,169.1,3,16,11.4
243,272,12,243.6,4,5,13.2
244,164,7,102.2,2,8,10.6
245,205,1,59.0,1,16,13.3
246,189,13,235.2,3,27,10.0
247,70,3,193.1,3,27,6.3
248,162,13,228.5,3,12,8.4
249,156,6,138.3,1,10,9.8
250,175,8,166.0,3,25,9.8
251,124,7,128.7,3,30,7.8
252,112,10,147.7,3,22,7.1
253,124,14,220.1,3,6,7.3
254,194,10,155.8,2,19,10.8
255,179,10,194.8,2,4,9.9
256,236,5,148.0,1,30,14.2
257,82,6,109.9,1,16,7.1
258,216,15,219.1,2,11,10.2
259,259,6,102.7,1,6,16.0
260,102,0,30.5,1,24,10.4
261,157,4,82.6,1,9,10.9
262,70,0,101.6,2,23,7.4
263,70,3,66.6,2,12,6.8
264,75,9,161.2,4,18,4.2
265,153,8,212.4,2,19,8.8
266,162,7,114.3,1,27,10.5
267,128,11,218.4,3,5,6.1
268,186,5,135.4,1,4,11.5
269,170,6,115.0,3,28,11.2
270,257,13,235.6,3,8,12.8
271,70,5,101.6,3,11,5.6
272,100,11,199.5,4,5,5.7
273,116,0,49.4,2,11,10.1
274,113,14,261.9,4,21,4.5
275,123,4,87.7,3,5,8.8
